code number of species,species name,n,volume in mm3,SEM in %
,,,,
Basal Insectivora,,,,
0577,Tenrec ecaudatus,3,314,5.9
0579,Setifer setosus,2,209,1.8
0581,Hemicentetes semispin.,1,93.6,__
0585,Echinops telfairi,2*,71.2,11.5
0689,Erinaceus algirus,3,285,15.2
0695,Erinaceus europaeus,5*,332,3.3
0701,Hemiechinus auritus,3,175,9.2
0715,Sorex araneus,5*,15.7,9.0
0769,Sorex minutus,1,8.65,__
0943,Crocidura flavescens,2,37.6,6.2
1071,Crocidura russula,2*,16.3,5.4
1137,Suncus murinus,1,34.2,__
,,,,
Progressive Insectivora,,,,
0575,Solenodon paradoxus,2*,464+,4.0
0589,Oryzoricles talpoides,1,46.9,__
0595,Microgale cowani,1,35.9,__
0601,Microgale dobsoni,1,53.6,__
0629,Microgale talazaci,1,74.3,__
0633,Limnogale mergulus,1,42.9,__
0637,Potamogale velox,2,86,4.5
0639,Micropotamogale lamottei,3,34.1+,24.2
0643,Chrysochloris asiatica,1,58.5,__
0645,Chrysochloris stuhlmanni,2*,60.6,8.2
0839,Neomys fodiens,2,15.8,18.4
1205,Desmana moschata,1,141,__
1207,Galemys pyrenaicus,2,39,3.9
1215,Talpa europaea,2*,59.6,13.0
,,,,
Scandentia,,,,
1263,Tupaia glis,20*,131,8.2
1269,Tupaia minor,2,94.3,3.9
1289,Urogale everetti,1,184,__
,,,,
Primates,,,,
Prosimians,,,,
3199,Microcebus murinus,6*,43,9.2
3203,Cheirogaleus major,2,158,5.7
3205,Cheirogaleus medius,2,102,7.3
3215,Lemur albifrons,3,207,8.1
3227,Varecia variegata,1,369,__
3239,Lepilemur ruficaudatus,3,113,20.5
3243,Avahi laniger laniger,2,89.2,7.4
3244,Avahi I. occidentalis,2*,70.1,26.7
3247,Propithecus verreauxi,2*,147,16.6
3249,Indri indri,2*,168,23.9
3251,Daubentonia madagascar.,1,685,__
3253,Loris tardigradus,1,85.8,__
3255,Nycticebus coucang,2,159,0.1
3259,Perodicticus potto,2,310,16.0
3265,Galago senegalensis,1,79.2,__
3267,Otolemur crassicaudatus,2,166,9.6
3275,Galagoides demidoff,2*,83.1,5.2
3282,Tarsius spp.,2,18.8,12.4
,,,,
Simians,,,,
3287,Callithrix jacchus,3,22.6+,22.6
3289,Cebuella pygmaea,2,12.3,2.0
3306,Saguinus midas,2*,17.3,6.8
3311,Saguinus oedipus,3*,19.1,22.7
3315,Callimico goeldii,1,27,__
3324,Cebus spp.,2*,39.9,26.8
3325,Aotus trivirgatus,3,61+,18.1
3327,Callicebus moloch,2*,19.2,8.1
3335,Saimiri sciureus,1,26.8,__
3341,Pithecia monachus,2,34.8,11.2
3366,Alouatta spp.,2,41.4,14.9
3371,Ateles geoffroyi,1,90.4,__
3379,Lagothrix lagothricha,3,73.4,10.2
3391,Macaca mulatta,1,84.3,__
3407,Cercocebus albigena,1,121,__
3415,Papio anubis,2*,287,5.5
3433,Cercopithecus ascanius,1,99.5,__
3453,Cercopithecus mitis,1,117,__
3469,Miopithecus talapoin,2*,27.8,25.4
3473,Erythrocebus patas,2,51.8,26.1
3477,Colobus badius,2,51.3,1.7
3493,Pygathrix nemaeus,1,10.7,__
3499,Nasalis larvatus,1,30.3,__
3539,Hylobates lar,1,43.9,__
3549,Pan troglodytes,1,257,__
3551,Gorilla gorilla,1,316,__
3553,Homo sapiens,1,114,__
,,,,
Macroscelidea,,,,
7993,Elephantulus fuscipes,2,63.3,4.3
8011,Rhynchocyon cirnei,2,426,5.1