status,species_key,species_snapshot,species_csv,species_csv_updated,n_structure_mismatch,BOL_snap,RB_snap,PRPI_snap,TOL_snap,TRL_snap,COA_snap,SIN_snap,BOL_csv,RB_csv,PRPI_csv,TOL_csv,TRL_csv,COA_csv,SIN_csv,BOL_match,RB_match,PRPI_match,TOL_match,TRL_match,COA_match,SIN_match
matched_by_species,alouatta seniculus,Alouatta seniculus,Alouatta seniculus,Alouatta seniculus,0,41.4,26.2,158.3,93.6,17.2,79.8,30.7,41.4,26.2,158.3,93.6,17.2,79.8,30.7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,aotus trivirgatus,Aotus trivirgatus,Aotus trivirgatus,Aotus trivirgatus,0,56,9.7,90.6,42.3,13,26.3,18.7,56,9.7,90.6,42.3,13,26.3,18.7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,ateles geoffroyi,Ateles geoffroyi,Ateles geoffroyi,Ateles geoffroyi,0,90.4,9.5,324.8,163.7,26.3,98.1,134.1,90.4,9.5,324.8,163.7,26.3,98.1,134.1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,avahi l laniger,NA,Avahi l. laniger,Avahi laniger,7,NA,NA,NA,NA,NA,NA,NA,89.1,14.4,96.5,33,4.2,5.7,16.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,avahi l occidentalis,NA,Avahi l. occidentalis,Avahi occidentalis,7,NA,NA,NA,NA,NA,NA,NA,70,10.9,85.4,26.8,3.2,6.2,13.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,avahi laniger laniger,Avahi laniger laniger,NA,NA,7,89.1,14.4,96.5,33,4.2,5.7,16.8,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,avahi laniger occidentalis,Avahi laniger occidentalis,NA,NA,7,70,10.9,85.4,26.8,3.2,6.2,13.5,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
matched_by_species,blarina brevicauda,Blarina brevicauda,Blarina brevicauda,Blarina brevicauda,0,28.8,6.9,23.4,9.6,1.4,1.5,1.5,28.8,6.9,23.4,9.6,1.4,1.5,1.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,callicebus moloch,Callicebus moloch,Callicebus moloch,Callicebus moloch,0,19.2,4.4,96.7,34.7,8,28.6,27.2,19.2,4.4,96.7,34.7,8,28.6,27.2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,callimico goeldii,Callimico goeldii,Callimico goeldii,Callimico goeldii,0,27,3.3,41.5,29.3,5.4,16.8,9.6,27,3.3,41.5,29.3,5.4,16.8,9.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,callithrix jacchus,Callithrix jacchus,Callithrix jacchus,Callithrix jacchus,0,22.8,2.7,34.6,19.4,3.6,14.1,10.1,22.8,2.7,34.6,19.4,3.6,14.1,10.1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,cebuella pygmaea,Cebuella pygmaea,Cebuella pygmaea,Callithrix pygmaea,0,11.4,2.1,24.5,7.8,1.3,6.1,5.8,11.4,2.1,24.5,7.8,1.3,6.1,5.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,cebus albifrons,Cebus albifrons,Cebus albifrons,Cebus albifrons,0,39.9,8.6,199.4,103.5,12.9,84.4,63.6,39.9,8.6,199.4,103.5,12.9,84.4,63.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,cercocebus albigena,Cercocebus albigena,Cercocebus albigena,Lophocebus albigena,0,121.4,22.2,364,158.5,59.7,185.2,67.9,121.4,22.2,364,158.5,59.7,185.2,67.9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,cercopithecus ascanius,Cercopithecus ascanius,Cercopithecus ascanius,Cercopithecus ascanius,0,99.5,12.5,223.3,86.5,24.9,101.8,30.1,99.5,12.5,223.3,86.5,24.9,101.8,30.1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,cercopithecus mitis,Cercopithecus mitis,Cercopithecus mitis,Cercopithecus mitis,0,116.7,24.6,191.8,103.6,33.7,152.4,55,116.7,24.6,191.8,103.6,33.7,152.4,55,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,cheirogaleus major,Cheirogaleus major,Cheirogaleus major,Cheirogaleus major,0,157.5,19.4,144,39.4,5.1,10,11.8,157.5,19.4,144,39.4,5.1,10,11.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,cheirogaleus medius,Cheirogaleus medius,Cheirogaleus medius,Cheirogaleus medius,0,102,14,75.1,27.5,3.2,5.7,6.9,102,14,75.1,27.5,3.2,5.7,6.9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,chrysochloris asiatica,Chrysochloris asiatica,Chrysochloris asiatica,Chrysochloris asiatica,0,58.5,14.1,52.3,20.7,3,2.4,2.3,58.5,14.1,52.3,20.7,3,2.4,2.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,chrysochloris stuhlmanni,Chrysochloris stuhlmanni,Chrysochloris stuhlmanni,Chrysochloris stuhlmanni,0,60.6,15,60,24.6,3.3,2.6,2.4,60.6,15,60,24.6,3.3,2.6,2.4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,colobus badius,NA,Colobus badius,Piliocolobus badius,7,NA,NA,NA,NA,NA,NA,NA,51.3,17.5,187.1,86.6,22.8,65.4,56.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
matched_by_species,crocidura flavescens,Crocidura flavescens,Crocidura flavescens,Crocidura flavescens,0,36.2,8.4,28.4,7.4,1.7,2,1.7,36.2,8.4,28.4,7.4,1.7,2,1.7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,crocidura hildegardea,Crocidura hildegardea,Crocidura hildegardea,Crocidura hildegardeae,0,19.4,4.5,17.9,6.1,0.71,0.6599999999999999,0.62,19.4,4.5,17.9,6.1,0.71,0.6599999999999999,0.62,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,crocidura jacksoni,Crocidura jacksoni,Crocidura jacksoni,Crocidura jacksoni,0,19.3,4.5,18.6,5.3,1,0.9500000000000001,0.55,19.3,4.5,18.6,5.3,1,0.9500000000000001,0.55,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,crocidura russula,Crocidura russula,Crocidura russula,Crocidura russula,0,15.5,3.5,13,4.4,0.64,0.5700000000000001,0.71,15.5,3.5,13,4.4,0.64,0.5700000000000001,0.71,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,daubentonia madagasc,NA,Daubentonia madagasc.,Daubentonia madagascariensis,7,NA,NA,NA,NA,NA,NA,NA,684.9,130.1,524.1,240,26.4,43.5,92.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,daubentonia madagascariensis,Daubentonia madagascariensis,NA,NA,7,684.9,130.1,524.1,240,26.4,43.5,92.3,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
matched_by_species,desmana moschata,Desmana moschata,Desmana moschata,Desmana moschata,0,141.4,34.3,135.8,40,6.7,4.4,8.4,141.4,34.3,135.8,40,6.7,4.4,8.4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,echinops telfairi,Echinops telfairi,Echinops telfairi,Echinops telfairi,0,71.2,12.3,58.1,15.1,2.9,2.4,3.2,71.2,12.3,58.1,15.1,2.9,2.4,3.2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,elephantulus fuscipes,Elephantulus fuscipes,Elephantulus fuscipes,Elephantulus fuscipes,0,63.3,10,48.7,17.5,2.9,2.8,2.5,63.3,10,48.7,17.5,2.9,2.8,2.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,erinaceus algirus,Erinaceus algirus,Erinaceus algirus,Atelerix algirus,0,284.5,52.8,216.4,53.3,12.8,13.6,9,284.5,52.8,216.4,53.3,12.8,13.6,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,erinaceus europaeus,Erinaceus europaeus,Erinaceus europaeus,Erinaceus europaeus,0,332,61.6,227.6,56.2,14.7,23.3,13.2,332,61.6,227.6,56.2,14.7,23.3,13.2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,erythrocebus patas,Erythrocebus patas,Erythrocebus patas,Erythrocebus patas,0,51.8,25,235,121.2,29.7,180,59.8,51.8,25,235,121.2,29.7,180,59.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
snapshot_only_not_in_csv,eulemur albifrons,Eulemur albifrons,NA,NA,7,206.7,39,208.5,92.6,12.4,12.9,14.6,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
matched_by_species,galago senegalensis,Galago senegalensis,Galago senegalensis,Galago senegalensis,0,79.2,11.1,50.3,15.2,3.1,4.3,5.2,79.2,11.1,50.3,15.2,3.1,4.3,5.2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,galagoides demidoff,Galagoides demidoff,Galagoides demidoff,Galagoides demidoff,0,83.1,7.4,83.9,19.4,2.6,3.4,6.3,83.1,7.4,83.9,19.4,2.6,3.4,6.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,galemys pyrenaicus,Galemys pyrenaicus,Galemys pyrenaicus,Galemys pyrenaicus,0,39,8,36.5,18.8,1.8,0.93,4.1,39,8,36.5,18.8,1.8,0.93,4.1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,gorilla gorilla,Gorilla gorilla,Gorilla gorilla,Gorilla sp.,0,315.7,56.4,798.2,610.2,129.4,236,287.8,315.7,56.4,798.2,610.2,129.4,236,287.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,hemicentetes semispinosus,Hemicentetes semispinosus,Hemicentetes semispinosus,Hemicentetes semispinosus,0,93.6,16,74.7,21.7,4.5,3.4,4.8,93.6,16,74.7,21.7,4.5,3.4,4.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,hemiechinus auritus,Hemiechinus auritus,Hemiechinus auritus,Hemiechinus auritus,0,175.1,21.8,128.8,35.8,6.9,7.8,6.5,175.1,21.8,128.8,35.8,6.9,7.8,6.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,0,113.5,109.5,1674.8,692.2,148.3,848.6,211.8,113.5,109.5,1674.8,692.2,148.3,848.6,211.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,hylobates lar,Hylobates lar,Hylobates lar,Hylobates lar,0,43.9,19,215.4,139.9,17.3,109.2,96.5,43.9,19,215.4,139.9,17.3,109.2,96.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,indri indri,Indri indri,Indri indri,Indri indri,0,167.4,33,221.2,91.5,10.9,34.1,49,167.4,33,221.2,91.5,10.9,34.1,49,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,lagothrix lagothricha,Lagothrix lagothricha,Lagothrix lagothricha,Lagothrix lagothricha,0,73.4,16.1,342.9,115.5,23.2,61.5,82.7,73.4,16.1,342.9,115.5,23.2,61.5,82.7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,lemur albifrons,NA,Lemur albifrons,Eulemur fulvus,7,NA,NA,NA,NA,NA,NA,NA,206.7,39,208.5,92.6,12.4,12.9,14.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
matched_by_species,lepilemur ruficaudatus,Lepilemur ruficaudatus,Lepilemur ruficaudatus,Lepilemur ruficaudatus,0,112.7,14.3,104,27.1,4.8,6,12.4,112.7,14.3,104,27.1,4.8,6,12.4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,limnogale mergulus,Limnogale mergulus,Limnogale mergulus,Microgale mergulus,0,42.9,7.9,33.4,13.2,3.1,1.4,1.6,42.9,7.9,33.4,13.2,3.1,1.4,1.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,loris tardigradus,Loris tardigradus,Loris tardigradus,Loris tardigradus,0,85.8,11.1,100,22.5,2.5,7.9,7.9,85.8,11.1,100,22.5,2.5,7.9,7.9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,macaca mulatta,Macaca mulatta,Macaca mulatta,Macaca mulatta,0,84.3,15.2,203.1,113.8,35.1,123.4,50.9,84.3,15.2,203.1,113.8,35.1,123.4,50.9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,microcebus murinus,Microcebus murinus,Microcebus murinus,Microcebus murinus,0,43,8.1,38.2,12.3,1.6,2,4.3,43,8.1,38.2,12.3,1.6,2,4.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,microgale cowani,Microgale cowani,Microgale cowani,Microgale cowani,0,35.9,7.7,40.3,12.4,1.8,1.1,0.9,35.9,7.7,40.3,12.4,1.8,1.1,0.9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,microgale dobsoni,Microgale dobsoni,Microgale dobsoni,Nesogale dobsoni,0,53.6,10.2,48,13,2.4,1.4,1.6,53.6,10.2,48,13,2.4,1.4,1.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,microgale talazaci,Microgale talazaci,Microgale talazaci,Nesogale talazaci,0,74.3,14.5,71.6,18.5,3.9,2.8,1.9,74.3,14.5,71.6,18.5,3.9,2.8,1.9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,micropotamogale lamottei,Micropotamogale lamottei,Micropotamogale lamottei,Micropotamogale lamottei,0,34.1,7.7,27.1,8.7,2.4,0.92,1.4,34.1,7.7,27.1,8.7,2.4,0.92,1.4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,micropotamogale ruwenzorii,Micropotamogale ruwenzorii,Micropotamogale ruwenzorii,Micropotamogale ruwenzorii,0,33.9,7.5,33.8,11.7,1.7,1.9,3.2,33.9,7.5,33.8,11.7,1.7,1.9,3.2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,microsoex hoyi,Microsoex hoyi,Microsoex hoyi,Microsorex hoyi,0,6.8,2,6.1,3,0.31,0.26,0.49,6.8,2,6.1,3,0.31,0.26,0.49,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,miopithecus talapoin,Miopithecus talapoin,Miopithecus talapoin,Miopithecus talapoin,0,27.8,8.8,132.1,51.5,14.1,46,40.2,27.8,8.8,132.1,51.5,14.1,46,40.2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,myosorex babaulti,Myosorex babaulti,Myosorex babaulti,Myosorex babaulti,0,34.5,7.3,30,11,1.4,1.4,1.2,34.5,7.3,30,11,1.4,1.4,1.2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,nasalis larvatus,Nasalis larvatus,Nasalis larvatus,Nasalis larvatus,0,30.3,14.6,196.3,164.8,26.6,88.7,58.1,30.3,14.6,196.3,164.8,26.6,88.7,58.1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,neomys fodiens,Neomys fodiens,Neomys fodiens,Neomys fodiens,0,16.2,4.3,12.4,6,0.71,0.8400000000000001,1.7,16.2,4.3,12.4,6,0.71,0.8400000000000001,1.7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,nycticebus coucang,Nycticebus coucang,Nycticebus coucang,Nycticebus coucang,0,159.3,38.5,179,52.2,6.4,22.9,21.5,159.3,38.5,179,52.2,6.4,22.9,21.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,oryzorictes talpoides,Oryzorictes talpoides,Oryzorictes talpoides,Oryzorictes hova,0,46.9,9.8,37.3,14.2,2.1,1.3,2.7,46.9,9.8,37.3,14.2,2.1,1.3,2.7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,otolemur crassicaudatus,Otolemur crassicaudatus,Otolemur crassicaudatus,Otolemur crassicaudatus,0,165.9,27.2,145.2,35.7,6.1,10.4,12.5,165.9,27.2,145.2,35.7,6.1,10.4,12.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,pan troglodytes,Pan troglodytes,Pan troglodytes,Pan troglodytes,0,257.2,61.3,577.5,298,75,174.8,141.5,257.2,61.3,577.5,298,75,174.8,141.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,papio anubis,Papio anubis,Papio anubis,Papio anubis,0,286.8,42.9,412.9,201.3,87.7,326.2,84.8,286.8,42.9,412.9,201.3,87.7,326.2,84.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,perodicticus potto,Perodicticus potto,Perodicticus potto,Perodicticus potto,0,309.7,69.4,246.6,84.3,11.5,20.6,26.6,309.7,69.4,246.6,84.3,11.5,20.6,26.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,pithecia monachus,Pithecia monachus,Pithecia monachus,Pithecia monachus,0,34.8,9.2,141.4,2.3,17.5,31.4,21.9,34.8,9.2,141.4,2.3,17.5,31.4,21.9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,potamogale velox,Potamogale velox,Potamogale velox,Potamogale velox,0,81.9,18.2,71.7,17.6,5,6.2,9.8,81.9,18.2,71.7,17.6,5,6.2,9.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
snapshot_only_not_in_csv,procolobus badius,Procolobus badius,NA,NA,7,51.3,17.5,187.1,86.6,22.8,65.4,56.6,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
matched_by_species,propithecus verreauxi,Propithecus verreauxi,Propithecus verreauxi,Propithecus verreauxi,0,147.4,35.3,182.9,82.7,10.1,17.6,33.7,147.4,35.3,182.9,82.7,10.1,17.6,33.7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,pygathrix nemaeus,Pygathrix nemaeus,Pygathrix nemaeus,Pygathrix nemaeus,0,10.7,13,151.8,121.5,13.1,98.9,54.2,10.7,13,151.8,121.5,13.1,98.9,54.2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,rhynchocyon cirnei,Rhynchocyon cirnei,Rhynchocyon cirnei,Rhynchocyon cirnei,0,426,77.4,301.5,87.8,23.4,21.6,17.5,426,77.4,301.5,87.8,23.4,21.6,17.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,ruwensorisorex suncoides,Ruwensorisorex suncoides,Ruwensorisorex suncoides,Ruwenzorisorex suncoides,0,17.5,4.1,17.8,5.1,0.71,0.63,0.63,17.5,4.1,17.8,5.1,0.71,0.63,0.63,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
snapshot_only_not_in_csv,saguinus midas,Saguinus midas,NA,NA,7,17.3,4.4,40.3,16.8,4.2,22.4,9.9,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,saguinus midas tamarin,NA,Saguinus midas tamarin,Saguinus midas,7,NA,NA,NA,NA,NA,NA,NA,17.3,4.4,40.3,16.8,4.2,22.4,9.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
matched_by_species,saguinus oedipus,Saguinus oedipus,Saguinus oedipus,Saguinus oedipus,0,19.1,3.9,54,23.9,5.4,16,11.2,19.1,3.9,54,23.9,5.4,16,11.2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,saimiri sciureus,Saimiri sciureus,Saimiri sciureus,Saimiri sciureus,0,26.8,6.5,60.4,41.7,8.7,34.4,19,26.8,6.5,60.4,41.7,8.7,34.4,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,scuisorex somereni,Scuisorex somereni,Scuisorex somereni,ScutisorexĘsomereni,0,58.3,13,48.9,13.8,3.5,2.2,1.9,58.3,13,48.9,13.8,3.5,2.2,1.9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,setifer setosus,Setifer setosus,Setifer setosus,Setifer setosus,0,209.1,40.1,148.9,46.5,12.4,11.1,8.2,209.1,40.1,148.9,46.5,12.4,11.1,8.2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,solenodon paradoxus,Solenodon paradoxus,Solenodon paradoxus,Solenodon paradoxus,0,464.3,71.8,312.7,115.6,19.3,20.9,15,464.3,71.8,312.7,115.6,19.3,20.9,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,sorex araneus,Sorex araneus,Sorex araneus,Sorex araneus,0,17,3.9,15.8,6,0.6699999999999999,0.53,0.8,17,3.9,15.8,6,0.6699999999999999,0.53,0.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,sorex cinereus,Sorex cinereus,Sorex cinereus,Sorex cinereus,0,11.6,3.2,12.4,4.8,0.48000000000000004,0.63,0.53,11.6,3.2,12.4,4.8,0.48000000000000004,0.63,0.53,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,sorex fumeus,Sorex fumeus,Sorex fumeus,Sorex fumeus,0,15,4.4,17,6,0.52,0.74,0.6599999999999999,15,4.4,17,6,0.52,0.74,0.6599999999999999,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,sorex minutus,Sorex minutus,Sorex minutus,Sorex minutus,0,9,1.8,7.6,4,3.6,0.38,0.61,9,1.8,7.6,4,3.6,0.38,0.61,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,suncus etruscus,Suncus etruscus,Suncus etruscus,Suncus etruscus,0,4.7,1.2,4,1.4,0.2,0.14,0.15000000000000002,4.7,1.2,4,1.4,0.2,0.14,0.15000000000000002,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,suncus megalura,NA,Suncus megalura,Suncus megalura,7,NA,NA,NA,NA,NA,NA,NA,16.6,3.2,15.3,4.8,0.55,0.55,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
matched_by_species,suncus murinus,Suncus murinus,Suncus murinus,Suncus murinus,0,36,7.2,28.6,6.6,1.3,0.98,1.6,36,7.2,28.6,6.6,1.3,0.98,1.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,sylvisorex granti,Sylvisorex granti,Sylvisorex granti,Sylvisorex granti,0,15.4,3.3,14.1,4.4,0.56,0.5700000000000001,0.49,15.4,3.3,14.1,4.4,0.56,0.5700000000000001,0.49,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
snapshot_only_not_in_csv,sylvisorex negalura,Sylvisorex negalura,NA,NA,7,16.6,3.2,15.3,4.8,0.55,0.55,0.5,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
matched_by_species,talpa europaea,Talpa europaea,Talpa europaea,Talpa europaea,0,59.6,11.7,45.4,19.1,2.5,4,2.9,59.6,11.7,45.4,19.1,2.5,4,2.9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
snapshot_only_not_in_csv,tarsius sp,Tarsius sp.,NA,NA,7,18.8,2.9,16.3,8.3,0.99,5.6,5.2,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,tarsius spp,NA,Tarsius spp.,Tarsius sp.,7,NA,NA,NA,NA,NA,NA,NA,18.8,2.9,16.3,8.3,0.99,5.6,5.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
matched_by_species,tenrec ecaudatus,Tenrec ecaudatus,Tenrec ecaudatus,Tenrec ecaudatus,0,313.7,50.1,225.5,51,15.1,24.1,9.8,313.7,50.1,225.5,51,15.1,24.1,9.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,tupaia glis,Tupaia glis,Tupaia glis,Tupaia glis,0,131.6,29,104.7,28.3,7.2,7.1,5.3,131.6,29,104.7,28.3,7.2,7.1,5.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,tupaia minor,Tupaia minor,Tupaia minor,Tupaia minor,0,94.3,22.8,81.2,20.2,4.8,4,4.9,94.3,22.8,81.2,20.2,4.8,4,4.9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,urogale everetti,Urogale everetti,Urogale everetti,Urogale everetti,0,184.2,37.5,137.8,51.4,12.8,12.1,4.9,184.2,37.5,137.8,51.4,12.8,12.1,4.9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,varecia variegata,Varecia variegata,Varecia variegata,Varecia variegata,0,369,66.4,307.8,128.1,21.5,35.1,57.8,369,66.4,307.8,128.1,21.5,35.1,57.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
