Scientific name,ILA linear density,ILA primary processes,ILA total processes,ILA total length,ILA complexity
Macropus parma,11.4,1.8,4.3,79.1,660.9
Macropus rufus,,1.5,4.3,87.5,878.9
Monodelphis domestica,20.0,1.3,6.1,71.5,1710.5
Choloepus didactylus,21.5,2.0,5.8,169.4,1798.5
Myrmecophaga tridactyla,24.8,2.3,7.3,127.1,2447.1
Procavia capensis,18.3,1.6,4.4,114.3,1124.5
Loxodonta africana,25.1,1.9,4.8,139.0,1162.0
Mus musculus,20.2,1.8,5.8,133.4,1521.1
Rattus norvegicus,24.4,2.0,7.0,118.5,1398.2
Microtus orchogaster,22.6,3.0,8.5,102.8,1034.1
Tupaia belangeri,16.5,2.3,10.3,126.2,2852.3
Cheirogaleus medius,39.9,1.7,5.7,134.7,1425.6
Perodicticus potto,24.5,2.6,7.9,139.7,2009.5
Lemur catta,23.0,2.3,6.7,199.3,1793.7
Tarsius bancanus,23.8,3.6,18.8,277.9,6827.4
Alouatta caraya,29.3,3.0,12.2,386.4,7623.4
Pithecia pithecia,20.2,5.4,14.0,445.5,3701.4
Cebuella pygmaea,29.0,4.4,11.6,162.8,3441.2
Saguinus imperator,31.0,5.3,12.2,223.5,7685.6
Cercocebus agilis,30.4,2.8,14.3,540.0,14434.2
Cercopithecus kandti,26.3,2.4,11.4,354.2,7398.1
Erythrocebus patas,39.4,2.6,16.2,288.4,11638.6
Mandrillus sphynx,23.3,3.6,13.0,364.1,5043.9
Macaca fascicularis,42.4,2.0,15.0,282.5,13157.3
Macaca mulatta,39.9,4.7,20.3,389.3,7674.1
Chlorocebus pygerythrus,46.7,,,,
Papio ursinus,37.5,5.3,16.3,337.2,4687.3
Gorilla gorilla,35.8,4.7,21.3,404.0,9488.4
Hylobates muelleri,36.6,3.1,22.6,415.3,21675.1
Pan paniscus,44.5,3.0,23.9,713.5,44416.4
Pan troglodytes,41.6,3.5,26.9,720.0,32019.6
Pongo pygmaeus,31.2,3.7,23.9,593.9,28101.8
Homo sapiens,32.5,5.1,27.9,593.4,25220.9
Carollia perspicillata,17.8,3.0,8.5,164.5,1348.5
Glossophaga soricina,21.0,3.0,6.3,106.9,470.9
Epomops franqueti,14.0,5.0,9.8,213.1,1026.3
Megaloglossus woermanni,18.0,2.3,5.3,55.2,343.7
Rousettus aegyptiacus,23.0,2.3,3.8,84.5,437.9
Atelerix frontalis,15.5,,,,
Felis catus,14.2,1.3,4.0,131.3,1273.3
Panthera tigris,17.2,2.2,7.2,111.9,1536.9
Mustela putorius,18.8,3.1,8.0,187.1,1619.9
Ailurus fulgens,19.6,2.3,7.0,119.5,1572.1
Ovis aries,13.2,2.3,8.3,180.9,4998.1
Hippopotamus amphibius,17.6,2.1,5.0,205.0,1485.4
Balaenoptera acutorostrata,20.4,2.1,7.4,202.0,3175.7
Phocoena phocoena,18.0,1.7,6.1,78.7,1211.8