"code","group","Species","n_1_18","Body_weight","Brain_weight","Ventricles","Meninges_hypophysis_nerves_etc.","Total_brain_net_volume","Medulla_oblongata","Cerebellum","Mesencephalon","Diencephalon","Telencephalon","Bulbus_olfactorius","Bulbus_olfactorius_accessorius","Lobus_piriformis","Septum","Striatum","Schizo_cortex","Hippocampus","Neocortex","n_19_26","Epithalamus","Thalamus","Hypothalamus","Subthalamus","Pallidum","Nucleus_subthalamicus","Capsula_interna","Tractus_opticus","n_27_28","Area_striata","Corpus_geniculatum_laterale","n_29_34","Palaeocortex","Amygdala","Complexus_centromedialis","Nucleus_tractus_olfactorius","Complexus_corticobasolateralis","Nucleus_amygdalae_basalis_pars_magnocellularis","n_35_39","Complexus_vestibularis_unilateral","Nucleus_vestibularis_superior_unilateral","Nucleus_vestibularis_lateralis_unilateral","Nucleus_vestibularis_medialis_unilateral","Nucleus_vestibularis_descendens_unilateral","n_40_44","Nucleus_septalis_triangularis","Corpus_subfornicale","Nucleus_habenularis_medialis","Corpus_pineal","Corpus_subcommissurale"
"1","Insectivore","Solenodon paradoxus",2,900,4670,56.4,169,4282,466,753,206,269,2486,465,0.218,689,65.4,255,156,296,661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.87,0.083,2.08,1.27,0.0435
"2","Insectivore","Tenrec ecaudatus",3,832,2570,65.3,101,2315,313,309,132,153,1407,314,0.715,464,36.9,98.1,76.5,146,271,2,2.7,62.1,51.4,11.5,11,0.481,13.2,2.73,NA,NA,NA,1,364,88.1,39.9,3.18,48.1,8.9,2,7.59,1.23,1.33,2.68,2.35,1,0.704,0.124,0.988,0.48,0.0112
"3","Insectivore","Setifer setosus",2,248,1510,21.3,32.3,1404,183,142,75.7,99.7,903,209,0.534,336,26,56.6,41.9,99.2,134,1,1.62,41.5,38.3,5.81,5.49,0.316,8.57,1.07,NA,NA,NA,2,269,67.2,30.9,2.71,36.2,7.46,1,3.75,0.689,0.483,1.44,1.14,1,0.329,0.06,0.426,0.445,0.0031
"4","Insectivore","Hemicentetes semispinosus",1,110,830,15.5,29,757,108,117,44.8,48.5,438,93.6,0.196,148,12.8,29.8,17.4,63.7,73.4,1,1.16,19,17.1,3.31,3.12,0.188,2.81,0.507,NA,NA,NA,1,125,22.3,10.4,1.3,11.9,2.39,1,2.5,0.384,0.552,0.852,0.709,1,0.338,0.032,0.425,0.181,0.00382
"5","Insectivore","Echinops telfairi",2,87.5,620,8.34,23.9,566,89.9,57.9,43.8,40.1,335,71.2,0.249,116,11.5,24.1,13.1,46.4,51.5,1,0.977,17.9,16.4,2.68,2.44,0.242,2.23,0.605,NA,NA,NA,1,93.1,22.1,10.8,0.71,11.3,3.19,1,1.69,0.291,0.281,0.615,0.505,1,0.338,0.029,0.365,0.243,0.000212
"6","Insectivore","Oryzorictes talpoides",1,44.2,580,4.83,17.3,538,61,81.3,26.6,36.9,332,46.9,0.12,88,10,32.5,23.5,64.3,66.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.331,0.018,0.257,0.051,0.000694
"7","Insectivore","Microgale cowani",1,15.2,420,7.12,6.4,392,45.3,49.5,24,25.4,248,35.9,0.162,79,6.08,19.4,13.5,36.4,57.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.216,0.0116,0.147,0.0152,0.00129
"8","Insectivore","Limnogale mergulus",1,92,1150,12.6,51,1046,204,176,67.4,81,518,42.9,0.323,87.4,19.5,57.9,36.4,78.2,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.602,0.0194,0.469,0.122,0.00202
"9","Insectivore","Nesogale dobsoni",1,32.6,560,5.31,21.9,513,59,57.3,37.9,32.8,326,53.6,0.178,93.5,9.58,23.1,16.3,67,62.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.28,0.0076,0.242,0.0356,0.00095
"10","Insectivore","Nesogale talazaci",1,50.4,790,6.02,16,741,85.3,92.3,47.2,43.8,472,74.3,0.369,139,11.2,31.2,20.7,98.9,96.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.378,0.0191,0.381,0.0894,0.00147
"14","Insectivore","Micropotamogale lamottei",3,64.2,800,11.9,17.2,743,135,82.7,58.6,62.8,404,34,0.0605,67.3,15.1,32.6,32.9,77.7,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Insectivore","Potamogale velox",2,660,4160,16.6,121,3878,756,605,254,298,1964,86,2.31,194,51.4,134,145,298,1054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.1,0.089,1.45,0.00309,0.00174
"16","Insectivore","Chlorotalpa stuhlmanni",2,39.8,740,7,13.8,693,68.3,74.7,42,51.8,457,60.6,0.204,131,11.3,43.5,21.4,59.1,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.395,0.0191,0.38,0.096,0
"17","Insectivore","Chrysochloris asiatica",1,49,700,8.12,10.7,657,58.5,72.6,43.2,52.8,430,58.5,0.132,115,12.1,44.3,20.9,66.3,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.485,0.0147,0.449,0.0251,0.00811
"21","Insectivore","Aethechinus algirus",3,790,3200,121,109,2859,336,358,153,246,1766,285,1.93,459,42.9,140,109,227,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.18,0.0621,0.93,0.297,0.0222
"22","Insectivore","Erinaceus europaeus",5,860,3350,105,78.8,3050,333,394,151,241,1931,332,1.94,505,51.7,147,134,237,522,2,3.71,117,79.9,14.2,13.3,0.903,18.8,3.94,NA,NA,NA,2,379,104,43.1,3.72,61.1,12.2,1,7.54,1.21,1.72,2.85,1.77,2,0.887,0.0592,1.17,0.423,0.0312
"23","Insectivore","Hemiechinus auritus",3,250,1900,82.5,41.2,1710,187,198,110,142,1073,175,1.35,279,28.4,81.1,68.7,130,309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Insectivore","Elephantulus fuscipes",2,57,1330,18.1,32.9,1233,120,183,117,112,700,63.3,0.662,120,16.8,44.5,46.8,173,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.289,0.0709,0.415,0.336,0.124
"33","Insectivore","Rhynchocyon stuhlmanni",2,490,6100,97.2,111,5680,507,798,523,524,3328,426,0.666,705,81.5,222,220,582,1089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.937,0.0576,2.09,1.41,0.403
"41","Insectivore","Sorex minutus",1,5.3,110,0.46,2.47,103,17,11,5.91,8.69,60.7,8.65,0.0202,17.2,2.02,6.02,3.62,10.5,12.7,1,0.161,3.92,3.07,0.707,0.65,0.0569,0.288,0.106,NA,NA,NA,1,13.9,3.34,1.78,0.174,1.56,0.549,1,0.41,0.0482,0.0713,0.174,0.116,1,0.07,0.00284,0.0586,0.00359,0.000265
"42","Insectivore","Sorex araneus",5,10.3,200,1.17,3.96,188,27.1,20.4,10.8,13.7,116,15.7,0.0776,32.7,3.2,10.5,6.83,20.6,26.4,2,0.264,7.25,5.17,1.09,0.979,0.105,0.61,0.144,NA,NA,NA,2,25.6,7.19,3.29,NA,3.9,0.704,1,0.618,0.107,0.0955,0.249,0.166,10,0.115,0.00326,0.0749,0.0102,0.00012
"43","Insectivore","Neomys fodiens",2,15.2,320,1.63,8.13,299,42.2,38.9,17.3,25.2,175,15.8,0.101,36,6.42,18.7,9,32.9,56.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,52.7,13.4,6,0.403,7.39,1.38,NA,NA,NA,NA,NA,NA,1,0.263,0.0069,0.205,0.027,0.000418
"59","Insectivore","Crocidura occidentalis",2,28,440,2.67,14,408,59.8,51.3,27.7,28.4,241,37.6,0.221,68.4,6.94,16.8,13.3,38.5,59.1,2,0.657,14.6,9.77,1.78,1.63,0.142,2.19,0.252,NA,NA,NA,1,23.4,6.82,3.23,0.233,3.59,0.803,2,1.32,0.171,0.222,0.543,0.389,1,0.274,0.0186,0.2,0.0391,0.000576
"60","Insectivore","Crocidura russula",2,11,190,1.67,3.85,178,23.6,21.8,11.7,15,106,16.3,0.0431,30.2,3.64,8.17,6.05,15.9,25.5,1,0.368,7.48,4.61,0.87,0.781,0.0889,0.727,0.116,NA,NA,NA,1,45.1,11.1,5.41,0.44,5.74,0.804,1,0.563,0.077,0.084,0.235,0.167,5,0.12,0.00986,0.134,0.0278,0.000766
"63","Insectivore","Suncus murinus",1,35.5,380,4.6,7.8,354,50.5,44.8,24.2,26,209,34.2,0.182,56.2,5.5,14.8,12.6,31.2,54.1,1,0.53,12.3,9.67,1.7,1.58,0.116,1.18,0.232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.03,0.1,0.167,0.438,0.324,1,0.201,0.0148,0.168,0.0628,0.00223
"81","Insectivore","Talpa europaea",2,76,1020,10.9,20.6,953,95.4,174,49.8,80.4,554,59.6,0.291,112,15,60.2,39.6,86.8,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.33,0.00857,0.366,0.0497,0.0102
"83","Insectivore","Desmana moschata",1,440,4000,138,104,3620,402,514,219,344,2140,141,0.218,320,42.6,222,163,267,983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.06,0.0352,1.05,0.459,0.0278
"84","Insectivore","Galemys pyrenaicus",2,57.5,1330,27.5,25.9,1230,147,184,62.2,105,733,39,0.206,107,20.1,74.4,44.9,109,339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.444,0.0379,0.422,0.0707,0.00545
"102","Prosimian","Tupaia glis",20,170,3200,38.2,51.4,2999,219,376,256,275,1873,131.5,2.41,269,27.5,140,114,152,1036,1,1.98,153,47.5,18.6,17.2,1.39,24.6,39.3,2,167,11.5,2,182,76.5,24.2,1.71,52.3,4.27,1,10.1,2.16,2.07,3.27,2.62,6,0.454,0.0608,0.947,0.393,0.0804
"104","Prosimian","Tupaia minor",2,70,2580,22.2,37.8,2430,173,308,249,251,1449,94.3,2.28,205,26.1,124,91.9,132,774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Prosimian","Urogale everetti",1,275,4280,38.9,95.8,3997,355,513,307,394,2428,184,2.1,362,45.1,199,124,173,1338,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,136,9.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.66,0.136,0.926,1.42,0.0572
"111","Prosimian","Cheirogaleus major",2,450,6800,83.4,108,6373,382,947,241,489,4314,158,4.04,332,58.9,327,149,347,2938,1,4.83,271,101,33.8,31.6,2.27,48.6,18,2,478,21.5,2,233,99.4,34.1,0.851,65.3,7.32,1,11.1,1.86,1.78,4.18,3.27,1,0.917,0.256,1.75,0.789,0.032
"112","Prosimian","Cheirogaleus medius",2,177,3140,24.6,45.2,2961,202,437,145,235,1941,102,2.66,198,32.5,145,65.3,174,1221,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,217,10.8,2,135,63.2,23.3,0.472,39.8,NA,NA,NA,NA,NA,NA,NA,1,0.385,0.171,1.06,0.691,0.0432
"114","Prosimian","Microcebus murinus",6,54,1780,11.3,26.6,1680,99.1,234,85.2,134,1129,43,1.62,103,15.3,85.7,40.1,100,740,2,1.44,78.3,29.8,11.4,10.7,0.65,9.08,6.17,2,149,7.03,6,66.8,36.4,12.1,0.264,24.3,NA,2,4.02,0.679,0.76,1.5,1.08,1,0.274,0.0556,0.461,0.14,0.0233
"117","Prosimian","Lepilemur ruficaudatus",3,915,7600,76.5,84.1,7175,449,1165,260,593,4708,113,2.72,302,56.7,366,194,392,3282,1,4.89,337,114,58.1,55.2,2.91,63,20.7,3,357,15.6,3,170,133,42.5,0.624,90.4,7.18,1,14.9,2.11,2.38,5.92,4.47,1,0.888,0.121,1.75,0.731,0.132
"118","Prosimian","Lemur fulvus",3,1400,23300,194,190,22106,909,3328,590,1713,15566,207,3.21,641,119,1215,422,752,12207,1,12.2,1028,239,225,212,13.9,248,108,2,1527,51.6,3,389,251,71.7,1.37,179,19.6,1,31.1,6.22,5.9,9.75,9.27,4,1.4,0.527,4.02,1.85,0.174
"124","Prosimian","Lemur variegatus",1,3000,31500,299,393,29713,1420,4286,1018,2529,20461,369,5.27,985,206,1591,608,1404,15293,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2112,68.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.51,0.741,5.35,4.46,0.197
"130","Prosimian","Avahi l. laniger",2,1285,10490,172,156,9798,553,1489,343,862,6550,89.2,3.01,284,69.7,524,241,526,4813,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,537,27.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.29,0.116,2.21,0.7,0.14
"131","Prosimian","Avahi laniger occidentalis",2,860,9670,73.7,137,9124,508,1383,345,861,6026,70.1,2.55,265,69.3,478,222,476,4443,2,6.52,489,137,80.5,74.5,5.94,105,38.3,1,485,27.2,NA,NA,NA,NA,NA,NA,NA,2,18.1,3.1,3.32,6.86,4.81,1,0.988,0.188,2.04,0.652,0.0942
"132","Prosimian","Propithecus verreauxi",2,3480,26700,231,347,25194,1223,3957,780,2195,17040,147,3.4,664,159,1411,443,1043,13170,1,14.6,1341,328,283,263,20,324,125,1,1559,68.6,1,292,251,78.7,0.921,172,18.8,1,43.2,8.18,7.37,15.3,12.4,1,1.6,0.507,3.65,3.26,0.357
"133","Prosimian","Indri indri",2,6250,38300,330,354,36285,1342,5504,978,2911,25551,168,2.32,838,205,1855,848,1520,20114,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1738,99.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4.96,0.553,7.15,5.63,0.366
"136","Prosimian","Daubentonia madagascar.",1,2800,45150,392,578,42611,1517,6461,897,3539,30196,685,8.31,1538,254,2765,1044,1776,22127,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1355,58.5,1,1065,473,122,3.53,351,24.9,NA,NA,NA,NA,NA,NA,1,2.65,0.593,7.75,3.32,1.83
"137","Prosimian","Loris tardigradus",1,322,6600,51.6,50.4,6269,233,728,220,538,4551,85.8,2.3,256,41.1,351,99.7,191,3524,1,3.21,348,80.9,45.2,41.4,3.79,46.3,15.7,1,588,24.6,NA,NA,NA,NA,NA,NA,NA,1,8.45,1.61,1.22,3.55,2.08,1,0.822,0.207,1.15,0.335,0.103
"138","Prosimian","Nycticebus coucang",2,800,12500,142,169,11755,528,1310,345,1077,8495,159,4.28,510,92,760,212,566,6192,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,823,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.34,0.175,2.04,1.83,0.154
"139","Prosimian","Perodicticus potto",2,1150,14000,127,174,13212,680,1699,391,1024,9418,310,2.74,661,114,712,328,607,6683,2,10.4,587,160,116,107,8.19,107,19.5,2,552,24.3,NA,NA,NA,NA,NA,NA,NA,2,17.3,2.86,2.66,7.87,3.88,5,2.27,0.216,3.77,1.76,0.264
"141","Prosimian","Galago crassicaudatus",2,850,10300,147,128,9668,540,1414,384,785,6545,166,2.52,386,70,556,181,461,4723,1,5.71,437,127,67.4,63.3,4.1,74.6,33.9,1,571,22.1,NA,NA,NA,NA,NA,NA,NA,1,19.9,2.85,2.87,7.16,7.01,1,0.695,0.0948,1.64,1.02,0.102
"142","Prosimian","Galago demidovii",2,81,3380,30.4,28.8,3203,169,413,135,246,2240,83.1,1.26,181,25.7,169,59.9,152,1568,2,2.09,153,45.1,18.3,17,1.4,18.4,11.5,2,237,10.9,1,122,50.2,14.9,0.62,35.3,2.82,2,6.65,1.02,1.01,2.72,1.9,2,0.45,0.024,0.78,0.375,0.0266
"143","Prosimian","Galago senegalensis",1,186,4800,40.2,81.4,4512,254,672,205,382,2997,79.2,2.58,163,35.7,210,107,261,2139,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,334,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.588,0.0668,0.998,0.741,0.0382
"147","Prosimian","Tarsius sp.",2,125,3600,24.1,58,3393,207,428,197,303,2258,18.8,0.82,92.7,23.3,133,69,153,1768,1,2.53,175,42.5,17.1,16.1,1.09,16.7,15.5,2,370,20.8,1,39.1,49.8,11.1,0.0752,38.7,5.35,1,7.69,0.759,1.16,3.36,2.41,3,0.405,0.0482,1.13,2.03,0.114
"151","Simian","Callithrix jacchus",4,280,7600,52,42.9,7241,318,757,295,554,5318,22.8,0.326,191,49.8,372,90,221,4371,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,692,25.7,3,99.3,113,28.3,0.195,84.6,8.57,NA,NA,NA,NA,NA,NA,1,0.44,0.133,1.63,0.486,0.0789
"156","Simian","Cebuella pygmaea",2,140,4500,24.5,16.9,4302,201,468,192,342,3099,12.3,0.386,133,29.2,174,81.8,133,2535,1,3.68,190,69.2,27.7,25.8,1.95,21.8,23.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11.1,2.1,2.94,4.11,1.96,NA,NA,NA,NA,NA,NA
"164","Simian","Saguinus oedipus",3,380,10000,62.6,52.8,9537,413,984,333,754,7052,19.1,0.406,256,60.5,453,107,262,5894,2,4.93,410,152,77.6,73.2,4.45,62.7,50.5,1,1003,33,NA,NA,NA,NA,NA,NA,NA,2,18.4,2.98,3.63,7.25,4.49,1,1.08,0.167,1.55,0.392,0.0921
"165","Simian","Saguinus tamarin",2,340,10300,251,122,9569,428,1061,332,692,7055,17.3,0.29,243,40.9,471,120,280,5883,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1077,36.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.559,0.0795,1.18,0.216,0.0994
"166","Simian","Callimico goeldii",1,480,11000,47.9,59.5,10510,460,1240,340,739,7733,27,0.512,253,63.5,493,138,281,6476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","Simian","Aotus trivirgatus",5,830,17100,105,206,16195,686,1873,409,1098,12128,56,0.222,394,83.8,862,243,539,9950,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1144,36,1,203,201,54.5,0.201,147,15.7,NA,NA,NA,NA,NA,NA,1,0.964,0.162,3.21,1.55,0.14
"172","Simian","Callicebus moloch",2,900,19000,279,242,17944,787,1622,530,1375,13465,19.2,0.325,454,86.4,920,234,588,11163,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1502,53.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.89,0.135,2.66,2.9,0.154
"174","Simian","Pithecia monacha",2,1500,35000,631,286,32867,1009,3908,745,2285,24920,34.8,0.846,675,140,1918,289,834,21028,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2154,72.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.31,0.3,2.53,0.0623,0.189
"179","Simian","Alouatta sp.",2,6400,52000,616,568,49009,1593,5699,986,3344,37388,41.4,0.595,827,200,2829,510,1320,31660,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2374,85.7,1,488,413,94.9,0,318,30.7,NA,NA,NA,NA,NA,NA,1,1.72,0.372,3.3,0.254,0.402
"184","Simian","Ateles geoffroyi",1,8000,108000,1389,1824,101034,1834,12438,1482,5334,79946,90.4,2.19,1625,324,4950,732,1366,70856,1,30.5,2930,629,860,807,52.8,570,204,1,4738,151,NA,NA,NA,NA,NA,NA,NA,1,49.7,7.2,6.81,23.8,11.9,2,3.18,0.443,7.29,3.1,0.608
"186","Simian","Lagothrix lagotricha",3,5200,101000,1090,897,95503,2110,11268,1582,5721,74822,73.4,1.43,1395,266,4947,680,1586,65873,2,31,2959,624,909,845,63.8,612,203,1,6288,149,NA,NA,NA,NA,NA,NA,NA,2,53,9.07,6.94,23,14.1,2,2.6,0.583,7.01,10.6,0.885
"191","Simian","Cebus sp.",2,3100,71000,729,864,66939,1738,7871,1221,3996,52113,39.9,0.667,931,174,3258,390,890,46429,1,23.7,2163,418,609,567,41.7,549,207,2,4690,137,1,567,502,118,0,384,41,1,50.2,11.2,7.45,19.2,12.3,2,1.5,0.41,4.9,3.8,0.425
"192","Simian","Saimiri sciureus",1,660,24000,299,295,22572,722,2260,526,1430,17635,26.8,0.985,413,90.6,1042,168,352,15541,1,8.86,731,207,180,169,11.5,132,117,1,2326,62.9,1,186,227,45.9,0,181,15,1,29.4,4.43,6.26,11.4,7.31,5,0.598,0.255,2.77,2.71,0.143
"202","Simian","Macaca mulatta",1,7800,93000,834,1038,87896,1992,8965,1380,4480,71080,84.3,0,1220,271,4032,639,1353,63482,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6586,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.83,0.36,7.66,12.4,0.27
"209","Simian","Cercocebus albigena",1,7900,104000,742,2041,97603,2708,10726,1770,5351,77049,121,0,1639,294,4146,630,1485,68733,1,27.9,2933,681,726,674,52.4,708,308,1,6831,182,NA,NA,NA,NA,NA,NA,NA,1,87.1,16.2,10,35.6,25.2,1,1.69,0.658,6,11.9,0.233
"212","Simian","Papio anubis",2,25000,201000,1081,1977,190957,5297,18683,2711,9280,154987,287,0,2111,559,7182,1309,3398,140142,1,65.4,4788,1076,1241,1147,94.7,1257,601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,107,14.4,10.5,48.1,33.9,1,1.86,0.405,12.7,51.1,0.347
"227","Simian","Cercopithecus mitis",1,6300,75000,467,1363,70564,1999,6758,1354,4176,56277,117,0,1265,246,2733,617,1366,49933,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5274,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.96,0.432,5.38,15.3,0.258
"231","Simian","Cercopithecus ascanius",1,3400,67000,240,927,63505,1632,5828,1162,3605,51279,99.5,0,1052,251,2827,694,1189,45166,1,17.9,1916,410,431,405,25.7,421,320,1,5152,147,1,450,601,136,0,465,48.9,1,52,8.21,5.88,20.8,17.2,1,2.13,0.509,4.23,4.66,0.217
"232","Simian","Cercopithecus talapoin",2,1200,40000,262,572,37776,1035,3374,826,2375,30166,27.8,0,706,133,1908,259,705,26427,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3046,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.866,0.192,2.07,2.03,0.22
"234","Simian","Erythrocebus patas",2,7800,108000,561,519,103167,2616,8738,1621,5423,84770,51.8,0,1339,330,3624,693,1591,77141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Simian","Pygathrix nemaeus",1,7500,77000,911,883,72530,2206,8063,1345,4727,56189,10.7,0,942,290,3166,723,2295,48763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Simian","Nasalis larvatus",1,14000,97000,591,241,92797,2945,12113,1556,5310,70873,30.3,0,1268,333,3735,855,1966,62685,1,29.6,3036,671,587,550,37.2,564,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,86.2,12.6,14.8,33.6,25.2,NA,NA,NA,NA,NA,NA
"246","Simian","Colobus badius",2,7000,78000,455,1016,73818,2007,8648,1333,3945,57885,51.3,0,937,288,3217,814,1671,50906,2,22.3,2164,484,553,521,31.9,460,201,2,3984,128,2,458,479,114,0,365,45.5,2,57.3,8.68,10,24.1,14.5,1,2.26,0.454,4.54,7.31,0.265
"271","Simian","Hylobates lar",1,5700,102000,555,395,97505,2251,12078,1459,5716,76001,43.9,0,1264,302,4784,1136,2673,65800,1,31.2,3226,629,777,715,61.6,693,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,59.3,14.9,5.53,24.5,14.5,NA,NA,NA,NA,NA,NA
"277","Simian","Pan troglodytes",1,46000,405000,1899,6924,382103,5817,43663,3739,15392,313493,257,0,2750,851,12246,2018,3779,291592,1,53.6,7987,1739,2078,1951,127,2510,630,1,14691,356,NA,NA,NA,NA,NA,NA,NA,1,118,23.5,9.65,54.7,29.8,3,2.7,0.606,9.4,38,0.387
"279","Simian","Gorilla gorilla",1,105000,500000,3608,8659,470359,7509,69249,4352,19370,369878,316,0,4871,1173,14567,2729,4781,341444,1,106,10547,2215,2782,2604,178,2471,671,1,15185,384,NA,NA,NA,NA,NA,NA,NA,1,136,34.7,19.5,58.4,23.6,2,5.79,1.3,23.9,7.96,1.41
"280","Simian","Homo sapiens sapiens",1,65000,1330000,18732,13205,1251847,9622,137421,8087,33319,1063399,114,0,9032,2610,28689,6142,10287,1006525,1,133,18222,3555,5180,4711,469,7008,823,1,22866,416,1,6016,3015,592,0,2424,246,1,177,35.8,22.4,72.8,45.9,1,0.524,0.508,17,142,0.0203
