Species,Amygdala_current,Amygdala_current_source,Species_Stephan1987,Amygdala_1987,Complexus_centromedialis_1987,Complexus_corticobasolateralis_1987,Nucleus_amygdalae_basalis_pars_magnocellularis_1987,Nucleus_tractus_olfactorius_1987
AAAA_Anatomy_code,,,,AMY,MAM,LAM,MCB,NTO
AAAA_Reference,ALL,ALL,Stephan_1987,Stephan_1987,Stephan_1987,Stephan_1987,Stephan_1987,Stephan_1987
Alouatta caraya,,,,,,,,
Alouatta seniculus,426,Stephan_1987,Alouatta seniculus,426,101.7,324.3,31.4,0
Aotus trivirgatus,193.6,Stephan_1987,Aotus trivirgatua,193.6,56.6,136.9,14.6,0.21
Atelerix algirus,101.3,Stephan_1987,Erinaceus algirus,101.3,45.9,55.4,7.5,3.1
Ateles geoffroyi,868.8,Stephan_1987,Ateles geoffroyi,868.8,224.3,644.5,74.7,0
Avahi laniger,113.2,Stephan_1987,Avahi l. laniger,113.2,39.5,73.8,5.4,1.1
Avahi occidentalis,121.1,Stephan_1987,Avahi l. occidentalis,121.1,34.6,86.5,6.4,0.27
Blarina brevicauda,10.9,Stephan_1987,Blarina brevicauda,10.9,5,5.9,0.89,0.45
Callicebus moloch,254.1,Stephan_1987,Callicebus moloch,254.1,74.6,179.5,16.3,0
Callimico goeldii,146.9,Stephan_1987,Callimico goeldii,146.9,35.6,111.2,11.6,0
Callithrix jacchus,106.1,Stephan_1987,Callithrix jacchus,106.1,30.5,75.6,7.7,0
Callithrix pygmaea,75.4,Stephan_1987,Cebuella pygmaea,75.4,17.5,57.9,7.1,0.11
Cebus albifrons,458.2,Stephan_1987,Cebus albifrons,458.2,120.4,337.8,36,0
Cercocebus agilis,,,,,,,,
Cercopithecus ascanius,572.5,Stephan_1987,Cercopithecus ascanius,572.5,139.3,433.2,45.6,0
Cercopithecus mitis,704,Stephan_1987,Cercopithecus mitis,704,210.9,493.1,66.4,0
Cheirogaleus major,102.3,Stephan_1987,Cheirogaleus major,102.3,33.6,68.8,8.8,0.95
Cheirogaleus medius,64.9,Stephan_1987,Cheirogaleus medius,64.9,24.1,40.8,3.9,0.55
Chrysochloris asiatica,20,Stephan_1987,Chrysochloris asiatica,20,9.1,11,1.6,0.83
Chrysochloris stuhlmanni,23.3,Stephan_1987,Chrysochloris stuhlmanni,23.3,12.2,11.1,2.1,0.96
Colobus angolensis,,,,,,,,
Crocidura flavescens,13,Stephan_1987,Crocidura flavescens,13,6.4,6.6,1.2,0.43
Crocidura hildegardeae,6.9,Stephan_1987,Crocidura hildegardeae,6.9,3.5,3.4,0.59,0.34
Crocidura jacksoni,7.6,Stephan_1987,Crocidura jacksoni,7.6,3.5,4.1,0.54,0.24
Crocidura russula,6.3,Stephan_1987,Crocidura russula,6.3,3.1,3.2,0.73,0.23
Daubentonia madagascariensis,481.7,Stephan_1987,Daubentonia madagasc.,481.7,124.6,357.1,25.3,3.6
Desmana moschata,90.8,Stephan_1987,Desmana moschata,90.8,40.9,49.9,12.2,0.09
Echinops telfairi,22.4,Stephan_1987,Echinops telfairi,22.4,11.1,11.3,3.2,0.7
Echinosorex gymnura,,,,,,,,
Elephantulus fuscipes,35.6,Stephan_1987,Elephantulus fuscipes,35.6,15.9,19.7,1.3,0.91
Erinaceus europaeus,108.1,Stephan_1987,Erinaceus europaeus,108.1,44.8,63.3,11.5,3.7
Erythrocebus patas,688.4,Stephan_1987,Erythrocebus patas,688.4,199.4,489,63.7,0
Eulemur fulvus,260.7,Stephan_1987,Lemur albifrons,260.7,75.2,185.5,20,1.5
Galago senegalensis,73.2,Stephan_1987,Galago senegalensis,73.2,21.7,51.5,4.2,0.55
Galagoides demidoff,57.9,Stephan_1987,Galagoides demidoff,57.9,17.6,40.4,3.2,0.73
Galemys pyrenaicus,36.5,Stephan_1987,Galemys pyrenaicus,36.5,15,21.5,5.7,0.23
Gorilla sp.,2752.6,Stephan_1987,Gorilla gorilla,2752.6,754.5,1998.1,227.5,0
Hemicentetes semispinosus,22.4,Stephan_1987,Hemicentetes semispinosus,22.4,10.4,12.1,2.4,1.3
Hemiechinus auritus,71.8,Stephan_1987,Hemiechinus auritus,71.8,29.9,41.9,4.9,2.8
Homo sapiens,5286.6,Stephan_1987,Homo sapiens,5286.6,1306.4,3980.2,349.9,0
Hylobates lar,666.2,Stephan_1987,Hylobates lar,666.2,156,510.2,84.6,0
Hylobates muelleri,,,,,,,,
Hylomys suillus,,,,,,,,
Indri indri,398.5,Stephan_1987,Indri indri,398.5,120.8,277.7,26,0.99
Lagothrix lagothricha,753.2,Stephan_1987,Lagothrix lagothricha,753.2,188,565.2,74.6,0
Leontopithecus rosalia,,,,,,,,
Lepilemur ruficaudatus,133.9,Stephan_1987,Lepilemur ruficaudatus,133.9,42.5,91.4,7.8,0.64
Lophocebus albigena,781.3,Stephan_1987,Cercocebus albigena,781.3,265.4,515.9,83.5,0
Loris tardigradus,104.1,Stephan_1987,Loris tardigradus,104.1,31.6,72.5,6,0.47
Macaca fascicularis,,,,,,,,
Macaca maura,,,,,,,,
Macaca mulatta,678.4,Stephan_1987,Macaca mulatta,678.4,185.2,493.2,69.7,0.13
Microcebus murinus,36.6,Stephan_1987,Microcebus murinus,36.6,12,24.5,2.1,0.3
Microgale cowani,14.8,Stephan_1987,Microgale cowani,14.8,5.5,9.3,0.91,0.7
Microgale mergulus,26.8,Stephan_1987,Limnogale mergulus,26.8,11,15.8,2.5,0.31
Micropotamogale lamottei,19,Stephan_1987,Micropotamogale lamottei,19,8.7,10.3,1.4,0.27
Micropotamogale ruwenzorii,22.2,Stephan_1987,Micropotamogale ruwenzorii,22.2,9.3,12.9,1.6,0.47
Microsorex hoyi,3.5,Stephan_1987,Microsorex hoyi,3.5,1.4,2.1,0.25,0.11
Miopithecus talapoin,413.1,Stephan_1987,Miopithecus talapoin,413.1,101.9,311.3,52.9,0
Myosorex babaulti,12.1,Stephan_1987,Myosorex babaulti,12.1,6.2,5.9,1.1,0.58
Nasalis larvatus,718.9,Stephan_1987,Nasalis larvatus,718.9,219.8,499.1,55.8,0
Neomys fodiens,8.6,Stephan_1987,Neomys fodiens,8.6,4.1,4.4,1.2,0.24
Nesogale dobsoni,17,Stephan_1987,Microgale dobsoni,17,6.8,10.2,1.7,0.75
Nesogale talazaci,25.8,Stephan_1987,Microgale talazaci,25.8,12.4,13.4,1.7,0.77
Nycticebus coucang,189.2,Stephan_1987,Nycticebus coucang,189.2,67.8,121.4,11.4,1.1
Oryzorictes hova,20.8,Stephan_1987,Oryzorictes talpoides,20.8,9.7,11.1,1.2,0.64
Otolemur crassicaudatus,148.8,Stephan_1987,Otolemur crassicaudatus,148.8,45.5,103.3,8.5,1.4
Pan paniscus,,,,,,,,
Pan troglodytes,1421.8,Stephan_1987,Pan troglodytes,1421.8,375.3,1046.5,136,0
Papio anubis,953.5,Stephan_1987,Papio anubis,953.5,213.3,740.2,104.7,0
Perodicticus potto,202.2,Stephan_1987,Perodicticus potto,202.2,63.5,138.8,14.1,1.9
Piliocolobus badius,500.9,Stephan_1987,Colobus badius,500.9,123.6,377.3,47.7,0
Pithecia monachus,365.3,Stephan_1987,Pithecia monachus,365.3,91.6,273.7,31.7,0
Pithecia pithecia,,,,,,,,
Pongo sp.,1400,Zilles_1988,,,,,,
Potamogale velox,62.3,Stephan_1987,Potamogale velox,62.3,28.7,33.6,5.3,0.46
Propithecus verreauxi,302.2,Stephan_1987,Propithecus verreauxi,302.2,95.8,206.4,22.5,1.1
Pygathrix nemaeus,489.2,Stephan_1987,Pygathrix nemaeus,489.2,151.6,337.5,51.2,0
Rattus norvegicus,34.5,Frahm_1997,,,,,,
Rhynchocyon cirnei,176,Stephan_1987,Rhynchocyon cirnei,176,82.9,93.2,5.4,6.1
Ruwenzorisorex suncoides,10.2,Stephan_1987,Ruwenzorisorex suncoides,10.2,4.7,5.5,0.69,0.18
Saguinus geoffroyi,,,,,,,,
Saguinus midas,144.9,Stephan_1987,Saguinus midas tamarin,144.9,38.8,106.1,8.8,0
Saguinus oedipus,141.8,Stephan_1987,Saguinus oedipus,141.8,31.6,110.2,11.4,0.12
Saimiri sciureus,242.4,Stephan_1987,Saimiri sciureus,242.4,54.1,188.3,15.5,0
ScutisorexÊsomereni,17.8,Stephan_1987,Scutisorex somereni,17.8,8,9.8,1.7,0.79
Setifer setosus,68.7,Stephan_1987,Setifer setosus,68.7,34.5,36.6,8.1,2.9
Solenodon paradoxus,133.8,Stephan_1987,Solenodon paradoxus,133.8,50.7,83.1,14.1,2.5
Sorex araneus,7.7,Stephan_1987,Sorex araneus,7.7,3.7,3.9,0.76,0.27
Sorex cinereus,4.9,Stephan_1987,Sorex cinereus,4.9,2.4,2.5,0.54,0.24
Sorex fumeus,7.4,Stephan_1987,Sorex fumeus,7.4,3.7,3.8,0.64,0.33
Sorex minutus,3.7,Stephan_1987,Sorex minutus,3.7,1.9,1.7,0.61,0.19
Spalax ehrenbergi,38.78,Frahm_1997,,,,,,
Suncus etruscus,1.7,Stephan_1987,Suncus etruscus,1.7,0.91,0.81,0.12,0.08
Suncus megalura,5.5,Stephan_1987,Sylvisorex megalura,5.5,2.9,2.6,0.45,0.26
Suncus murinus,10.9,Stephan_1987,Suncus murinus,10.9,5.3,5.6,0.78,0.43
Sylvisorex granti,5.1,Stephan_1987,Sylvisorex granti,5.1,2.4,2.6,0.54,0.32
Symphalangus syndactylus,,,,,,,,
Talpa europaea,26.3,Stephan_1987,Talpa europaea,26.3,11.3,15,3.5,0.56
Tarsius sp.,53.4,Stephan_1987,Tarsius spp.,53.4,13.7,39.7,3.3,0.09
Tenrec ecaudatus,88.2,Stephan_1987,Tenrec ecaudatus,88.2,39.1,49.1,9.1,3.1
Trachypithecus francoisi,,,,,,,,
Tupaia glis,87.3,Stephan_1987,Tupaia glis,87.3,28,59.3,4.6,2.2
Tupaia minor,66.6,Stephan_1987,Tupaia minor,66.6,23.6,43,3.3,0.88
Urogale everetti,105.2,Stephan_1987,Urogale everetti,105.2,36.2,69,10.6,2.2
Varecia variegata,368.2,Stephan_1987,Varecia variegata,368.2,114.7,253.5,22.9,2.6