Order_Baron1988,Species,Species_Baron1988,Complexus_vestibularis,Nucleus_vestibular_superior,Nucleus_vestibularis_lateralis,Nucleus_vestibularis_medialis,Nucleus_vestibularis_descendens
AAAanatomy,AAAanatomy,AAAanatomy,VC,VS,VL,VM,VI
Insectivora,Solenodon paradoxus,Solenodon paradoxus,21.8,3,2.9,8.7,7.2
Insectivora,Tenrec ecaudatus,Tenrec ecaudatus,14.3,2.12,2.87,5.12,4.24
Insectivora,Setifer setosus,Setifer setosus,7.28,1.4,1.1,2.74,2.04
Insectivora,Hemicentetes semispinosus,Hemicentetes semispinosus,5.27,0.692,0.921,1.97,1.69
Insectivora,Echinops telfairi,Echinops telfairi,3.83,0.631,0.622,1.47,1.11
Insectivora,Nesogale talazaci,Microgale talazaci,3.49,0.366,0.691,1.54,0.896
Insectivora,Potamogale velox,Potamogale velox,25.1,4.27,3.46,8.05,9.27
Insectivora,Micropotamogale ruwenzorii,Micropotamogale ruwenzorii,8.63,1.43,1.28,3.28,2.64
Insectivora,Chrysochloris stuhlmanni,Chrysochloris stuhlmanni,3.06,0.459,0.507,1.29,0.8
Insectivora,Atelerix algirus,Erinaceus algirus,15.3,1.93,2.35,6.29,4.68
Insectivora,Erinaceus europaeus,Erinaceus europaeus,15.8,2.22,3.24,6.41,3.96
Insectivora,Hemiechinus auritus,Hemiechinus auritus,8.68,1.19,1.73,3.46,2.3
Insectivora,Sorex araneus,Sorex araneus,1.28,0.218,0.263,0.537,0.265
Insectivora,Sorex cinereus,Sorex cinereus,0.877,0.21,0.147,0.365,0.26
Insectivora,Microsorex hoyi,Microsorex hoyi,0.581,0.0811,0.115,0.219,0.166
Insectivora,Neomys fodiens,Neomys fodiens,2.31,0.269,0.355,0.961,0.726
Insectivora,Blarina brevicauda,Blarina brevicauda,2.21,0.325,0.223,0.994,0.666
Insectivora,Crocidura flavescens,Crocidura flavescens,2.21,0.253,0.434,0.951,0.57
Insectivora,Crocidura hildegardeae,Crocidura hildegardeae,1.57,0.185,0.237,0.674,0.47
Insectivora,Crocidura russula,Crocidura russula,1.2,0.132,0.172,0.547,0.348
Insectivora,Suncus etruscus,Suncus etruscus,0.518,0.0608,0.0593,0.265,0.133
Insectivora,Suncus murinus,Suncus murinus,2.1,0.226,0.378,0.915,0.584
Insectivora,Suncus megalura,Sylvisorex megalura,1.38,0.155,0.269,0.634,0.32
Insectivora,Ruwenzorisorex suncoides,Ruwenzorisorex suncoides,2.51,0.259,0.235,1.13,0.886
Insectivora,Scutisorex卲omereni,Scutisorex卲omereni,3.55,0.448,0.613,1.42,1.07
Insectivora,Desmana moschata,Desmana moschata,19.5,2.34,2.54,8.12,6.49
Insectivora,Galemys pyrenaicus,Galemys pyrenaicus,6.16,0.667,0.794,2.61,2.09
Insectivora,Talpa europaea,Talpa europaea,4.12,0.588,0.458,1.66,1.41
Scandentia,Tupaia glis,Tupaia glis,21.5,4.23,4.19,7,6.03
Scandentia,Tupaia minor,Tupaia minor,14.1,2.52,2.17,4.75,4.7
Scandentia,Urogale everetti,Urogale everetti,22.6,3.61,4.11,8.37,6.54
Prosimians,Microcebus murinus,Microcebus murinus,7.42,1.25,1.3,2.87,2
Prosimians,Cheirogaleus major,Cheirogaleus major,23.9,3.97,3.83,8.92,7.17
Prosimians,Cheirogaleus medius,Cheirogaleus medius,12.3,2.28,2.25,4.65,3.08
Prosimians,Eulemur albifrons,Lemur albifrons,58.9,12.5,9.76,18.8,17.8
Prosimians,Varecia variegata,Varecia variegata,97,13,18.8,34,29.2
Prosimians,Lepilemur ruficaudatus,Lepilemur ruficaudatus,33,5.03,5.22,12.8,9.91
Prosimians,Avahi laniger,Avahi laniger laniger,44,7.65,8.55,17.1,10.7
Prosimians,Avahi occidentalis,Avahi laniger occidentalis,40.2,6.37,7.57,15.5,10.8
Prosimians,Propithecus verreauxi,Propithecus verreauxi,81.6,14.8,13,28.9,24.9
Prosimians,Indri indri,Indri indri,92.7,15.3,18.4,35.1,23.9
Prosimians,Daubentonia madagascariensis,Daubentoni madagascar.,91.8,14.1,13.4,36.7,27.6
Prosimians,Loris tardigradus,Loris tardigradus,16.1,2.59,2.23,6.92,4.32
Prosimians,Nycticebus coucang,Nycticebus coucang,34.9,5.72,5.62,14.7,8.88
Prosimians,Perodicticus potto,Perodicticus potto,38,6.33,5.34,17.2,9.09
Prosimians,Galago senegalensis,Galago senegalensis,20.6,3.21,3.52,8.09,5.82
Prosimians,Otolemur crassicaudatus,Otolemur crassicaudatus,37.8,5.68,5.55,13.7,12.9
Prosimians,Galagoides demidoff,Galagoides demidoff,12.5,2.02,1.7,5,3.82
Prosimians,Tarsius sp.,Tarsius spp.,20.6,2.7,2.76,8.36,6.81
Simians,Callithrix jacchus,Callithrix jacchus,27.3,4.9,6.46,10.6,5.37
Simians,Cebuella pygmaea,Cebuella pygmaea,22.1,4.1,5.97,8.27,3.76
Simians,Saguinus midas,Saguinus midas tamarin,33.1,6.59,6.5,12.3,7.74
Simians,Saguinus oedipus,Saguinus oedipus,35.2,5.42,7.02,14,8.8
Simians,Callimico goeldii,Callimico goeldii,36.6,6.98,7.96,12.8,8.84
Simians,Cebus albifrons,Cebus albifrons,105,21.2,15.8,41.3,26.7
Simians,Aotus trivirgatus,Aotus trivirgatus,51.9,10.7,9.54,20.7,11
Simians,Callicebus moloch,Callicebus moloch,64.7,11,10.8,25.8,17.1
Simians,Saimiri sciureus,Saimiri sciureus,57.1,9.74,11.6,20.5,15.3
Simians,Pithecia monachus,Pithecia monachus,73.2,14.9,14.7,24.6,19
Simians,Alouatta seniculus,Alouatta seniculus,76.8,15.8,15.6,26.6,18.8
Simians,Ateles geoffroyi,Ateles geoffroyi,96.4,12.8,12.8,46.6,24.2
Simians,Lagothrix lagothricha,Lagothrix lagothricha,104,17.6,15.8,43,27.8
Simians,Macaca mulatta,Macaca mulatta,150,29,22.9,62.4,35.9
Simians,Cercocebus albigena,Cercocebus albigena,170,32.8,23,65.1,49.2
Simians,Papio anubis,Papio anubis,219,32.2,24.3,96.9,65.7
Simians,Cercopithecus ascanius,Cercopithecus ascanius,112,18.7,13.2,41.5,38.6
Simians,Cercopithecus mitis,Cercopithecus mitis,137,26,19.9,50.9,40.6
Simians,Miopithecus talapoin,Miopithecus talapoin,86.8,16.3,15.2,33.9,21.4
Simians,Erythrocebus patas,Erythrocebus patas,161,28.1,32.7,64.3,35.6
Simians,Procolobus badius,Colobus badius,117,17.6,21.5,49.5,28.4
Simians,Pygathrix nemaeus,Pygathrix nemaeus,117,24.4,24.3,35.1,32.9
Simians,Nasalis larvatus,Nasalis larvatus,171,23.7,31.2,66.9,48.9
Simians,Hylobates lar,Hylobates lar,119,28.9,11.5,49.1,29.8
Simians,Pan troglodytes,Pan troglodytes,224,42.8,23,99.6,58.5
Simians,Gorilla gorilla,Gorilla gorilla,251,61.7,38.1,101.5,49.9
Simians,Homo sapiens,Homo sapiens,339,78.4,42.3,130.3,87.8