Code,Definition,Structure,Measure,Stat,Reference,Note,Source Note
Cx,"Cerebral cortex (including grey matter, white matter and hippocampus)",CerebralCortex,,,DosSantos_etal_2020_Table1,,
Cb,Cerebellum,Cerebellum,,,DosSantos_etal_2020_Table1,,
RoB,"Rest of brain (including pons, medulla oblongata, mesencephalon, diencephalon and striatum)",RoB,,,DosSantos_etal_2020_Table1,,
P+M,Pons and medulla oblongata,PonsMedulla,,,DosSantos_etal_2020_Table1,,
Ctx,"Cerebral cortex (grey and white matter, excluding hippocampus)",CerebralCortexNoHippocampus,,,DosSantos_etal_2020_Table1,,
Hp,Hippocampus,Hippocampus,,,DosSantos_etal_2020_Table1,,
Br,"whole brain (corresponding to the joint value of the respective Cx, Cb and RoB)",WholeBrain,,,DosSantos_etal_2020_Table1,,
C,Total number of cells in the structure,,C.n,,DosSantos_etal_2020_Table1,,
N,Total number of neurons in the structure,,N.n,,DosSantos_etal_2020_Table1,,
I,Total number of microglia in the structure,,I.n,,DosSantos_etal_2020_Table1,,
N/mg,number of neuronal cells per milligram of structure,,N.p.mg,,DosSantos_etal_2020_Table1,,
I/mg,Number of microglia per milligram of structure,,I.p.mg,,DosSantos_etal_2020_Table1,"proportion of microglial cell nuclei in each sample was determined by immunocytochemical detection of the antigen Iba1, specifically expressed in both the nucleus and cytoplasm of active and resting microglia"; "The fraction of DAPI+ cell nuclei that were Iba1+ was determined by unbiased systematic counting of contiguous squares in a modified Neubauer chamber, under a Carl Zeiss AxioImager A2 fluorescent microscope with a 40× objective (Carl Zeiss EC-Plan-NEOFLUAR 40×/0,75 420360-9900), until at least 500 DAPI+ nuclei had been scored. Depending on the percentage of Iba1+ nuclei, typically the latter were typically 10-30 of all nuclei scored for each brain structure analyzed.",
I/N,Microglia/Neuron ratio,,I.p.N,,DosSantos_etal_2020_Table1,,
Structure mass (g),mass in grams,,Mass.g,,DosSantos_etal_2020_Table1,,
No. of samples,number of samples of free nuclei prepared with isotropic fractionator,,S.n,,DosSantos_etal_2020_Table1,,