accepted_name,source_publication,variant_name
Alouatta caraya,Bauernfeind2013,Alouatta caraya
Alouatta seniculus,Baron1983,Alouatta spp.
Alouatta seniculus,Baron1987,Alouatta seniculus
Alouatta seniculus,Baron1988,Alouatta seniculus
Alouatta seniculus,Baron1990,Alouatta seniculus
Alouatta seniculus,Frahm1982,Alouatta sp.
Alouatta seniculus,Frahm1994,Alouatta seniculus
Alouatta seniculus,Frahm98,Alouatta seniculus
Alouatta seniculus,Frahm_1984,Alouatta sp.
Alouatta seniculus,Matano1985b,Alouatta seniculus
Alouatta seniculus,Matano1985a,Alouatta seniculus
Alouatta seniculus,Sherwood_2005,Alouatta seniculus
Alouatta seniculus,Stephan1981,Alouatta sp.
Alouatta seniculus,Stephan1982,Alouatta sp.
Alouatta seniculus,Stephan1984,Alouatta spp.
Alouatta seniculus,Stephan1987,Alouatta seniculus
Alouatta seniculus,deSousa2010,Alouatta seniculus
Aotus trivirgatus,Baron1983,Aotus trivirgatus
Aotus trivirgatus,Baron1987,Aotus trivirgatus
Aotus trivirgatus,Baron1988,Aotus trivirgatus
Aotus trivirgatus,Baron1990,Aotus trivirgatus
Aotus trivirgatus,Frahm1982,Aotus trivirgatus
Aotus trivirgatus,Frahm1994,Aotus trivirgatus
Aotus trivirgatus,Frahm98,Aotus trivirgatus
Aotus trivirgatus,Frahm_1984,Aotus trivirgatus
Aotus trivirgatus,Matano1985b,Aotus trivirgatus
Aotus trivirgatus,Matano1985a,Aotus trivirgatus
Aotus trivirgatus,Sherwood_2005,Aotus trivirgatus
Aotus trivirgatus,Stephan1981,Aotus trivirgatus
Aotus trivirgatus,Stephan1982,Aotus trivirgatus
Aotus trivirgatus,Stephan1984,Aotus trivirgatus
Aotus trivirgatus,Stephan1987,Aotus trivirgatua
Aotus trivirgatus,deSousa2010,Aotus trivirgatus
Atelerix algirus,Baron1983,Erinaceus algirus
Atelerix algirus,Baron1987,Erinaceus algirus
Atelerix algirus,Baron1988,Erinaceus algirus
Atelerix algirus,Baron1990,Atelerix algirus
Atelerix algirus,Frahm1982,Erinaceus algirus
Atelerix algirus,Stephan1981,Aethechinus algirus
Atelerix algirus,Stephan1982,Erinaceus algirus
Atelerix algirus,Stephan1984,Aethechinus algirus
Atelerix algirus,Stephan1987,Erinaceus algirus
Ateles geoffroyi,Baron1983,Ateles geoffroyi
Ateles geoffroyi,Baron1987,Ateles geoffroyi
Ateles geoffroyi,Baron1988,Ateles geoffroyi
Ateles geoffroyi,Baron1990,Ateles geoffroyi
Ateles geoffroyi,Bauernfeind2013,Ateles geoffroyi
Ateles geoffroyi,Frahm1994,Ateles geoffroyi
Ateles geoffroyi,Frahm_1984,Ateles geoffroyi
Ateles geoffroyi,Matano1985b,Ateles geoffroyi
Ateles geoffroyi,Matano1985a,Ateles geoffroyi
Ateles geoffroyi,Sherwood_2005,Ateles geoffroyi
Ateles geoffroyi,Stephan1981,Ateles geoffroyi
Ateles geoffroyi,Stephan1982,Ateles geoffroyi
Ateles geoffroyi,Stephan1984,Ateles geoffroyi
Ateles geoffroyi,Stephan1987,Ateles geoffroyi
Ateles geoffroyi,deSousa2010,Ateles geoffroyi
Avahi laniger,Baron1983,Avahi laniger laniger
Avahi laniger,Baron1987,Avahi l. laniger
Avahi laniger,Baron1988,Avahi laniger laniger
Avahi laniger,Baron1990,Avahi laniger laniger
Avahi laniger,Frahm1994,Avahi laniger laniger
Avahi laniger,Frahm_1984,Avahi l. laniger
Avahi laniger,Matano1985b,Avahi laniger laniger
Avahi laniger,Matano1985a,Avahi l. laniger
Avahi laniger,Sherwood_2005,Avahi laniger laniger
Avahi laniger,Stephan1981,Avahi l. laniger
Avahi laniger,Stephan1982,Avahi laniger lan.
Avahi laniger,Stephan1984,Avahi l. laniger
Avahi laniger,Stephan1987,Avahi l. laniger
Avahi laniger,deSousa2010,Avahi laniger
Avahi occidentalis,Baron1983,Avahi I. occidentalis
Avahi occidentalis,Baron1987,Avahi l. occidentalis
Avahi occidentalis,Baron1988,Avahi laniger occidentalis
Avahi occidentalis,Baron1990,Avahi laniger occidentalis
Avahi occidentalis,Bauernfeind2013,Avahi laniger
Avahi occidentalis,Frahm1982,Avahi laniger occidentalis
Avahi occidentalis,Frahm1994,Avahi l. occidentalis
Avahi occidentalis,Frahm_1984,Avahi laniger occidentalis
Avahi occidentalis,Matano1985b,Avahi l. occidentalis
Avahi occidentalis,Matano1985a,Avahi l. occidentalis
Avahi occidentalis,Sherwood_2005,Avahi laniger occidentalis
Avahi occidentalis,Stephan1981,Avahi laniger occidentalis
Avahi occidentalis,Stephan1982,Avahi laniger occ.
Avahi occidentalis,Stephan1984,Avahi l. occidentalis
Avahi occidentalis,Stephan1987,Avahi l. occidentalis
Blarina brevicauda,Baron1987,Blarina brevicauda
Blarina brevicauda,Baron1988,Blarina brevicauda
Blarina brevicauda,Baron1990,Blarina brevicauda
Blarina brevicauda,Stephan1987,Blarina brevicauda
Callicebus moloch,Baron1983,Callicebus moloch
Callicebus moloch,Baron1987,Callicebus moloch
Callicebus moloch,Baron1988,Callicebus moloch
Callicebus moloch,Baron1990,Callicebus moloch
Callicebus moloch,Frahm1994,Callicebus moloch
Callicebus moloch,Frahm98,Callicebus moloch
Callicebus moloch,Frahm_1984,Callicebus moloch
Callicebus moloch,Matano1985b,Callicebus moloch
Callicebus moloch,Matano1985a,Callicebus moloch
Callicebus moloch,Sherwood_2005,Callicebus moloch
Callicebus moloch,Stephan1981,Callicebus moloch
Callicebus moloch,Stephan1982,Callicebus moloch
Callicebus moloch,Stephan1984,Callicebus moloch
Callicebus moloch,Stephan1987,Callicebus moloch
Callicebus moloch,deSousa2010,Callicebus moloch
Callimico goeldii,Baron1983,Callimico goeldii
Callimico goeldii,Baron1987,Callimico goeldii
Callimico goeldii,Baron1988,Callimico goeldii
Callimico goeldii,Baron1990,Callimico goeldii
Callimico goeldii,Frahm1994,Callimico goeldi
Callimico goeldii,Frahm98,Callimico goeldii
Callimico goeldii,Sherwood_2005,Callimico goeldii
Callimico goeldii,Stephan1981,Callimico goeldii
Callimico goeldii,Stephan1982,Callimico goeldii
Callimico goeldii,Stephan1987,Callimico goeldii
Callithrix jacchus,Baron1983,Callithrix jacchus
Callithrix jacchus,Baron1987,Callithrix jacchus
Callithrix jacchus,Baron1988,Callithrix jacchus
Callithrix jacchus,Baron1990,Callithrix jacchus
Callithrix jacchus,Frahm1982,Callithrix jacchus
Callithrix jacchus,Frahm1994,Callithrix jacchus
Callithrix jacchus,Frahm98,Callithrix jacchus
Callithrix jacchus,Frahm_1984,Callithrix jacchus
Callithrix jacchus,Matano1985b,Callithrix jacchus
Callithrix jacchus,Matano1985a,Callithrix jacchus
Callithrix jacchus,Sherwood_2005,Callithrix jacchus
Callithrix jacchus,Stephan1981,Callithrix jacchus
Callithrix jacchus,Stephan1982,Callithrix jacchus
Callithrix jacchus,Stephan1984,Callithrix jacchus
Callithrix jacchus,Stephan1987,Callithrix jacchus
Callithrix jacchus,deSousa2010,Callithrix jacchus
Callithrix pygmaea,Baron1983,Cebuella pygmaea
Callithrix pygmaea,Baron1987,Cebuella pygmaea
Callithrix pygmaea,Baron1988,Cebuella pygmaea
Callithrix pygmaea,Baron1990,Cebuella pygmaea
Callithrix pygmaea,Bauernfeind2013,Callithrix pygmaea
Callithrix pygmaea,Frahm1982,Cebuella pygmaea
Callithrix pygmaea,Frahm1994,Cebuella pygmaea
Callithrix pygmaea,Frahm98,Cebuella pygmaea
Callithrix pygmaea,Frahm_1984,Cebuella pygmaea
Callithrix pygmaea,Matano1985b,Cebuella pygmaea
Callithrix pygmaea,Matano1985a,Cebuella pygmaea
Callithrix pygmaea,Sherwood_2005,Cebuella pygmaea
Callithrix pygmaea,Stephan1981,Cebuella pygmaea
Callithrix pygmaea,Stephan1982,Cebuella pygmaea
Callithrix pygmaea,Stephan1987,Cebuella pygmaea
Callithrix pygmaea,deSousa2010,Cebuella pygmaea
Cebus albifrons,Baron1983,Cebus spp.
Cebus albifrons,Baron1987,Cebus albifrons
Cebus albifrons,Baron1988,Cebus albifrons
Cebus albifrons,Baron1990,Cebus albifrons
Cebus albifrons,Bauernfeind2013,Cebus albifrons
Cebus albifrons,Frahm1982,Cebus sp.
Cebus albifrons,Frahm1994,Cebus albifrons
Cebus albifrons,Frahm98,Cebus spec.
Cebus albifrons,Frahm_1984,Cebus sp.
Cebus albifrons,Matano1985b,Cebus albifrons
Cebus albifrons,Matano1985a,Cebus albifrons
Cebus albifrons,Sherwood_2005,Cebus albifrons
Cebus albifrons,Stephan1981,Cebus sp.
Cebus albifrons,Stephan1982,Cebus sp.
Cebus albifrons,Stephan1984,Cebus spp.
Cebus albifrons,Stephan1987,Cebus albifrons
Cebus albifrons,deSousa2010,Cebus albifrons
Cercocebus agilis,Bauernfeind2013,Cercocebus agilis
Cercopithecus ascanius,Baron1983,Cercopithecus ascanius
Cercopithecus ascanius,Baron1987,Cercopithecus ascanius
Cercopithecus ascanius,Baron1988,Cercopithecus ascanius
Cercopithecus ascanius,Baron1990,Cercopithecus ascanius
Cercopithecus ascanius,Frahm1982,Cercopithecus ascanius
Cercopithecus ascanius,Frahm1994,Cercopithecus ascanius
Cercopithecus ascanius,Frahm98,Cercopithecus ascanius
Cercopithecus ascanius,Frahm_1984,Cercopithecus ascanius
Cercopithecus ascanius,Matano1985b,Cercopithecus ascanius
Cercopithecus ascanius,Matano1985a,Cercopithecus ascanius
Cercopithecus ascanius,Sherwood_2005,Cercopithecus ascanius
Cercopithecus ascanius,Stephan1981,Cercopithecus ascanius
Cercopithecus ascanius,Stephan1984,Cercopithecus ascanius
Cercopithecus ascanius,Stephan1987,Cercopithecus ascanius
Cercopithecus ascanius,deSousa2010,Cercopithecus ascanius
Cercopithecus ascanius,deSousa2013,Cercopithecus ascanius
Cercopithecus mitis,Baron1983,Cercopithecus mitis
Cercopithecus mitis,Baron1987,Cercopithecus mitis
Cercopithecus mitis,Baron1988,Cercopithecus mitis
Cercopithecus mitis,Baron1990,Cercopithecus mitis
Cercopithecus mitis,Bauernfeind2013,Cercopithecus kandti
Cercopithecus mitis,Frahm1994,Cercopithecus mitis
Cercopithecus mitis,Frahm98,Cercopithecus mitis
Cercopithecus mitis,Frahm_1984,Cercopithecus mitis
Cercopithecus mitis,Matano1985b,Cercopithecus mitis
Cercopithecus mitis,Matano1985a,Cercopithecus mitis
Cercopithecus mitis,Sherwood_2005,Cercopithecus mitis
Cercopithecus mitis,Stephan1981,Cercopithecus mitis
Cercopithecus mitis,Stephan1984,Cercopithecus mitis
Cercopithecus mitis,Stephan1987,Cercopithecus mitis
Cercopithecus mitis,deSousa2010,Cercopithecus mitus
Cercopithecus mitis,deSousa2013,Cercopithecus mitis
Cheirogaleus major,Baron1983,Cheirogaleus major
Cheirogaleus major,Baron1987,Cheirogaleus major
Cheirogaleus major,Baron1988,Cheirogaleus major
Cheirogaleus major,Baron1990,Cheirogaleus major
Cheirogaleus major,Frahm1994,Cheirogaleus major
Cheirogaleus major,Frahm98,Cheirogaleus major
Cheirogaleus major,Frahm_1984,Cheirogaleus major
Cheirogaleus major,Matano1985b,Cheirogaleus major
Cheirogaleus major,Matano1985a,Cheirogaleus major
Cheirogaleus major,Sherwood_2005,Cheirogaleus major
Cheirogaleus major,Stephan1981,Cheirogaleus major
Cheirogaleus major,Stephan1982,Cheirogaleus major
Cheirogaleus major,Stephan1984,Cheirogaleus major
Cheirogaleus major,Stephan1987,Cheirogaleus major
Cheirogaleus major,deSousa2010,Cheirogaleus major
Cheirogaleus medius,Baron1983,Cheirogaleus medius
Cheirogaleus medius,Baron1987,Cheirogaleus medius
Cheirogaleus medius,Baron1988,Cheirogaleus medius
Cheirogaleus medius,Baron1990,Cheirogaleus medius
Cheirogaleus medius,Frahm1994,Cheirogaleus medius
Cheirogaleus medius,Frahm_1984,Cheirogaleus medius
Cheirogaleus medius,Matano1985b,Cheirogaleus medius
Cheirogaleus medius,Matano1985a,Cheirogaleus medius
Cheirogaleus medius,Sherwood_2005,Cheirogaleus medius
Cheirogaleus medius,Stephan1981,Cheirogaleus medius
Cheirogaleus medius,Stephan1982,Cheirogaleus medius
Cheirogaleus medius,Stephan1984,Cheirogaleus medius
Cheirogaleus medius,Stephan1987,Cheirogaleus medius
Cheirogaleus medius,deSousa2010,Cheirogaleus medius
Chrysochloris asiatica,Baron1983,Chrysochloris asiatica
Chrysochloris asiatica,Baron1987,Chrysochloris asiatica
Chrysochloris asiatica,Stephan1981,Chrysochloris asiatica
Chrysochloris asiatica,Stephan1982,Chrysochloris asiat.
Chrysochloris asiatica,Stephan1987,Chrysochloris asiatica
Chrysochloris stuhlmanni,Baron1983,Chrysochloris stuhlmanni
Chrysochloris stuhlmanni,Baron1987,Chrysochloris stuhlmanni
Chrysochloris stuhlmanni,Baron1988,Chrysochloris stuhlmanni
Chrysochloris stuhlmanni,Baron1990,Chrysochloris stuhlmanni
Chrysochloris stuhlmanni,Stephan1981,Chlorotalpa stuhlmanni
Chrysochloris stuhlmanni,Stephan1982,Chrysochl. stuhlm.
Chrysochloris stuhlmanni,Stephan1987,Chrysochloris stuhlmanni
Colobus angolensis,Bauernfeind2013,Colobus angolensis
Colobus angolensis,deSousa2013,Colobus angolensis
Crocidura flavescens,Baron1983,Crocidura flavescens
Crocidura flavescens,Baron1987,Crocidura flavescens
Crocidura flavescens,Baron1988,Crocidura flavescens
Crocidura flavescens,Baron1990,Crocidura flavescens
Crocidura flavescens,Frahm1982,Crocidura flavescens
Crocidura flavescens,Matano1985a,Crocidura flavescens
Crocidura flavescens,Stephan1981,Crocidura occidentalis
Crocidura flavescens,Stephan1982,Crocidura flavesc.
Crocidura flavescens,Stephan1984,Crocidura occidentalis
Crocidura flavescens,Stephan1987,Crocidura flavescens
Crocidura hildegardeae,Baron1987,Crocidura hildegardea
Crocidura hildegardeae,Baron1988,Crocidura hildegardeae
Crocidura hildegardeae,Baron1990,Crocidura hildegardeae
Crocidura hildegardeae,Stephan1987,Crocidura hildegardeae
Crocidura jacksoni,Baron1987,Crocidura jacksoni
Crocidura jacksoni,Stephan1987,Crocidura jacksoni
Crocidura russula,Baron1983,Crocidura russula
Crocidura russula,Baron1987,Crocidura russula
Crocidura russula,Baron1988,Crocidura russula
Crocidura russula,Baron1990,Crocidura russula
Crocidura russula,Frahm1982,Crocidura russula
Crocidura russula,Matano1985a,Crocidura r. russula
Crocidura russula,Stephan1981,Crocidura russula
Crocidura russula,Stephan1982,Crocidura russula
Crocidura russula,Stephan1984,Crocidura russula
Crocidura russula,Stephan1987,Crocidura russula
Daubentonia madagascariensis,Baron1983,Daubentonia madagascar.
Daubentonia madagascariensis,Baron1987,Daubentonia madagasc.
Daubentonia madagascariensis,Baron1988,Daubentoni madagascar.
Daubentonia madagascariensis,Baron1990,Daubentoni madagascar.
Daubentonia madagascariensis,Frahm1982,Daubentonia madagascar.
Daubentonia madagascariensis,Frahm1994,Daubentonia madagascariensis
Daubentonia madagascariensis,Frahm_1984,Daubentonia madagascar.
Daubentonia madagascariensis,Matano1985b,Daubentonia madagasc.
Daubentonia madagascariensis,Matano1985a,Daubentonia madagasc.
Daubentonia madagascariensis,Sherwood_2005,Daubentonia madagascariensis
Daubentonia madagascariensis,Stephan1981,Daubentonia madagascar.
Daubentonia madagascariensis,Stephan1982,Daubentonia madagas.
Daubentonia madagascariensis,Stephan1984,Daubentonia madagascar.
Daubentonia madagascariensis,Stephan1987,Daubentonia madagasc.
Daubentonia madagascariensis,deSousa2010,Daubentonia madagascariensis
Desmana moschata,Baron1983,Desmana moschata
Desmana moschata,Baron1987,Desmana moschata
Desmana moschata,Baron1988,Desmana moschata
Desmana moschata,Baron1990,Desmana moschata
Desmana moschata,Stephan1981,Desmana moschata
Desmana moschata,Stephan1982,Desmana moschata
Desmana moschata,Stephan1984,Desmana moschata
Desmana moschata,Stephan1987,Desmana moschata
Echinops telfairi,Baron1983,Echinops telfairi
Echinops telfairi,Baron1987,Echinops telfairi
Echinops telfairi,Baron1988,Echinops telfairi
Echinops telfairi,Baron1990,Echinops telfairi
Echinops telfairi,Frahm1982,Echinops telfairi
Echinops telfairi,Frahm1994,Echinops telfairi
Echinops telfairi,Matano1985b,Echinops telfairi
Echinops telfairi,Matano1985a,Echinops telfairi
Echinops telfairi,Stephan1981,Echinops telfairi
Echinops telfairi,Stephan1982,Echinops telfairi
Echinops telfairi,Stephan1984,Echinops telfairi
Echinops telfairi,Stephan1987,Echinops telfairi
Echinosorex gymnura,Baron1990,Echinosorex gymnura
Elephantulus fuscipes,Baron1983,Elephantulus fuscipes
Elephantulus fuscipes,Baron1987,Elephantulus fuscipes
Elephantulus fuscipes,Stephan1981,Elephantulus fuscipes
Elephantulus fuscipes,Stephan1982,Elephantulus fuscip.
Elephantulus fuscipes,Stephan1984,Elephantulus fuscipes
Elephantulus fuscipes,Stephan1987,Elephantulus fuscipes
Erinaceus europaeus,Baron1983,Erinaceus europaeus
Erinaceus europaeus,Baron1987,Erinaceus europaeus
Erinaceus europaeus,Baron1988,Erinaceus europaeus
Erinaceus europaeus,Baron1990,Erinaceus europaeus
Erinaceus europaeus,Frahm1982,Erinaceus europaeus
Erinaceus europaeus,Matano1985a,Erinaceus europaeus
Erinaceus europaeus,Stephan1981,Erinaceus europaeus
Erinaceus europaeus,Stephan1982,Erinaceus europaeus
Erinaceus europaeus,Stephan1984,Erinaceus europaeus
Erinaceus europaeus,Stephan1987,Erinaceus europaeus
Erythrocebus patas,Baron1983,Erythrocebus patas
Erythrocebus patas,Baron1987,Erythrocebus patas
Erythrocebus patas,Baron1988,Erythrocebus patas
Erythrocebus patas,Baron1990,Erythrocebus patas
Erythrocebus patas,Frahm1994,Erythrocebus patas
Erythrocebus patas,Frahm98,Erythrocebus patas
Erythrocebus patas,Matano1985b,Erythrocebus patas
Erythrocebus patas,Matano1985a,Erythrocebus patas
Erythrocebus patas,Sherwood_2005,Erythrocebus patas
Erythrocebus patas,Stephan1981,Erythrocebus patas
Erythrocebus patas,Stephan1984,Erythrocebus patas
