accepted_name,source_publication,variant_name
Otolemur crassicaudatus,Sherwood_2005,Otolemur crassicaudatus
Otolemur crassicaudatus,Stephan1981,Galago crassicaudatus
Otolemur crassicaudatus,Stephan1982,Otolemur crassic.
Otolemur crassicaudatus,Stephan1984,Otolemur crassicaudatus
Otolemur crassicaudatus,Stephan1987,Otolemur crassicaudatus
Otolemur crassicaudatus,deSousa2010,Otolemur crassicaudatus
Pan paniscus,Bauernfeind2013,Pan paniscus
Pan paniscus,Sherwood_2005,Pan paniscus
Pan paniscus,deSousa2010,Pan paniscus
Pan paniscus,deSousa2013,Pan paniscus
Pan troglodytes,Baron1983,Pan troglodytes
Pan troglodytes,Baron1987,Pan troglodytes
Pan troglodytes,Baron1988,Pan troglodytes
Pan troglodytes,Baron1990,Pan troglodytes
Pan troglodytes,Bauernfeind2013,Pan troglodytes
Pan troglodytes,Frahm1982,Pan troglodytes
Pan troglodytes,Frahm1994,Pan troglodytes
Pan troglodytes,Frahm98,Pan troglodytes
Pan troglodytes,Frahm_1984,Pan troglodytes
Pan troglodytes,Matano1985b,Pan troglodytes
Pan troglodytes,Matano1985a,Pan troglodytes
Pan troglodytes,Sherwood_2005,Pan troglodytes
Pan troglodytes,Stephan1981,Pan troglodytes
Pan troglodytes,Stephan1984,Pan troglodytes
Pan troglodytes,Stephan1987,Pan troglodytes
Pan troglodytes,deSousa2010,Pan troglodytes
Pan troglodytes,deSousa2013,Pan troglodytes
Papio anubis,Baron1983,Papio anubis
Papio anubis,Baron1987,Papio anubis
Papio anubis,Baron1988,Papio anubis
Papio anubis,Baron1990,Papio anubis
Papio anubis,Frahm1982,Papio anubis
Papio anubis,Frahm1994,Papio anubis
Papio anubis,Frahm98,Papio anubis
Papio anubis,Frahm_1984,Papio anubis
Papio anubis,Matano1985b,Papio anubis
Papio anubis,Matano1985a,Papio anubis
Papio anubis,Sherwood_2005,Papio anubis
Papio anubis,Stephan1981,Papio anubis
Papio anubis,Stephan1984,Papio anubis
Papio anubis,Stephan1987,Papio anubis
Papio anubis,deSousa2010,Papio anubis
Papio anubis,deSousa2013,Papio anubis
Perodicticus potto,Baron1983,Perodicticus potto
Perodicticus potto,Baron1987,Perodicticus potto
Perodicticus potto,Baron1988,Perodicticus potto
Perodicticus potto,Baron1990,Perodicticus potto
Perodicticus potto,Bauernfeind2013,Perodicticus potto
Perodicticus potto,Frahm1994,Perodicticus potto
Perodicticus potto,Frahm_1984,Perodicticus potto
Perodicticus potto,Matano1985b,Perodicticus potto
Perodicticus potto,Matano1985a,Perodicticus potto
Perodicticus potto,Sherwood_2005,Perodicticus potto
Perodicticus potto,Stephan1981,Perodicticus potto
Perodicticus potto,Stephan1982,Perodicticus potto
Perodicticus potto,Stephan1984,Perodicticus potto
Perodicticus potto,Stephan1987,Perodicticus potto
Perodicticus potto,deSousa2010,Perodicticus potto
Piliocolobus badius,Baron1983,Colobus badius
Piliocolobus badius,Baron1987,Colobus badius
Piliocolobus badius,Baron1988,Colobus badius
Piliocolobus badius,Baron1990,Colobus badius
Piliocolobus badius,Bauernfeind2013,Piliocolobus badius
Piliocolobus badius,Frahm1982,Colobus badius
Piliocolobus badius,Frahm1994,Colobus badius
Piliocolobus badius,Frahm_1984,Colobus badius
Piliocolobus badius,Matano1985b,Colobus badius
Piliocolobus badius,Matano1985a,Colobus badius
Piliocolobus badius,Sherwood_2005,Procolobus badius
Piliocolobus badius,Stephan1981,Colobus badius
Piliocolobus badius,Stephan1984,Colobus badius
Piliocolobus badius,Stephan1987,Colobus badius
Piliocolobus badius,deSousa2010,Procolobus badius
Piliocolobus badius,deSousa2013,Piliocolobus badius
Pithecia monachus,Baron1983,Pithecia monachus
Pithecia monachus,Baron1987,Pithecia monachus
Pithecia monachus,Baron1988,Pithecia monachus
Pithecia monachus,Baron1990,Pithecia monachus
Pithecia monachus,Frahm1994,Pithecia monachus
Pithecia monachus,Frahm98,Pithecia monachus
Pithecia monachus,Frahm_1984,Pithecia monachus
Pithecia monachus,Matano1985b,Pithecia monachus
Pithecia monachus,Matano1985a,Pithecia monachus
Pithecia monachus,Sherwood_2005,Pithecia monachus
Pithecia monachus,Stephan1981,Pithecia monacha
Pithecia monachus,Stephan1982,Pithecia monachus
Pithecia monachus,Stephan1984,Pithecia monachus
Pithecia monachus,Stephan1987,Pithecia monachus
Pithecia monachus,deSousa2010,Pithecia monachus
Pithecia pithecia,Bauernfeind2013,Pithecia pithecia
Pongo sp.,Bauernfeind2013,Pongo pygmaeus and Pongo abelii
Pongo sp.,Sherwood_2005,Pongo pygmaeus
Pongo sp.,Stephan1981,Pongo abelii
Pongo sp.,Zilles1988,Pongo sp.
Pongo sp.,deSousa2010,Pongo pygmaeus
Pongo sp.,deSousa2013,Pongo pygmaeus
Potamogale velox,Baron1983,Potamogale velox
Potamogale velox,Baron1987,Potamogale velox
Potamogale velox,Baron1988,Potamogale velox
Potamogale velox,Baron1990,Potamogale velox
Potamogale velox,Stephan1981,Potamogale velox
Potamogale velox,Stephan1982,Potamogale velox
Potamogale velox,Stephan1987,Potamogale velox
Propithecus verreauxi,Baron1983,Propithecus verreauxi
Propithecus verreauxi,Baron1987,Propithecus verreauxi
Propithecus verreauxi,Baron1988,Propithecus verreauxi
Propithecus verreauxi,Baron1990,Propithecus verreauxi
Propithecus verreauxi,Frahm1982,Propithecus verreauxi
Propithecus verreauxi,Frahm1994,Propithecus verreauxi
Propithecus verreauxi,Frahm_1984,Propithecus verreauxi
Propithecus verreauxi,Matano1985b,Propithecus verreauxi
Propithecus verreauxi,Matano1985a,Propithecus verreauxi
Propithecus verreauxi,Sherwood_2005,Propithecus verreauxi
Propithecus verreauxi,Stephan1981,Propithecus verreauxi
Propithecus verreauxi,Stephan1982,Propithecus verreau.
Propithecus verreauxi,Stephan1984,Propithecus verreauxi
Propithecus verreauxi,Stephan1987,Propithecus verreauxi
Propithecus verreauxi,deSousa2010,Propithecus verreauxi
Pygathrix nemaeus,Baron1983,Pygathrix nemaeus
Pygathrix nemaeus,Baron1987,Pygathrix nemaeus
Pygathrix nemaeus,Baron1988,Pygathrix nemaeus
Pygathrix nemaeus,Baron1990,Pygathrix nemaeus
Pygathrix nemaeus,Frahm1994,Pygathrix nemaeus
Pygathrix nemaeus,Matano1985b,Pygathrix nemaeus
Pygathrix nemaeus,Matano1985a,Pygathrix nemaeus
Pygathrix nemaeus,Sherwood_2005,Pygathrix nemaeus
Pygathrix nemaeus,Stephan1981,Pygathrix nemaeus
Pygathrix nemaeus,Stephan1987,Pygathrix nemaeus
Pygathrix nemaeus,deSousa2013,Pygathrix nemaeus
Rattus norvegicus,Frahm1997,Rattus norvegicus
Rhynchocyon cirnei,Baron1983,Rhynchocyon cirnei
Rhynchocyon cirnei,Baron1987,Rhynchocyon cirnei
Rhynchocyon cirnei,Stephan1981,Rhynchocyon stuhlmanni
Rhynchocyon cirnei,Stephan1982,Rhynchocyon cirnei
Rhynchocyon cirnei,Stephan1987,Rhynchocyon cirnei
Ruwenzorisorex suncoides,Baron1987,Ruwensorisorex suncoides
Ruwenzorisorex suncoides,Baron1988,Ruwenzorisorex suncoides
Ruwenzorisorex suncoides,Baron1990,Ruwenzorisorex suncoides
Ruwenzorisorex suncoides,Stephan1987,Ruwenzorisorex suncoides
Saguinus geoffroyi,Bauernfeind2013,Saguinus geoffroyi
Saguinus midas,Baron1983,Saguinus midas
Saguinus midas,Baron1987,Saguinus midas tamarin
Saguinus midas,Baron1988,Saguinus midas tamarin
Saguinus midas,Baron1990,Saguinus midas
Saguinus midas,Frahm1994,Saguinus midas tamarin
Saguinus midas,Frahm98,Saguinus midas
Saguinus midas,Frahm_1984,Saguinus midas
Saguinus midas,Matano1985b,Saguinus midas
Saguinus midas,Matano1985a,Saguinus midas
Saguinus midas,Sherwood_2005,Saguinus midas
Saguinus midas,Stephan1981,Saguinus tamarin
Saguinus midas,Stephan1982,Saguinus midas
Saguinus midas,Stephan1987,Saguinus midas tamarin
Saguinus midas,deSousa2010,Sanguinus midas
Saguinus oedipus,Baron1983,Saguinus oedipus
Saguinus oedipus,Baron1987,Saguinus oedipus
Saguinus oedipus,Baron1988,Saguinus oedipus
Saguinus oedipus,Baron1990,Saguinus oedipus
Saguinus oedipus,Bauernfeind2013,Saguinus oedipus
Saguinus oedipus,Frahm1994,Saguinus oedipus
Saguinus oedipus,Frahm98,Saguinus oedipus
Saguinus oedipus,Frahm_1984,Saguinus oedipus
Saguinus oedipus,Matano1985b,Saguinus oedipus
Saguinus oedipus,Matano1985a,Saguinus oedipus
Saguinus oedipus,Sherwood_2005,Saguinus oedipus
Saguinus oedipus,Stephan1981,Saguinus oedipus
Saguinus oedipus,Stephan1982,Saguinus oedipus
Saguinus oedipus,Stephan1984,Saguinus oedipus
Saguinus oedipus,Stephan1987,Saguinus oedipus
Saguinus oedipus,deSousa2010,Sanguinus oedipus
Saimiri sciureus,Baron1983,Saimiri sciureus
Saimiri sciureus,Baron1987,Saimiri sciureus
Saimiri sciureus,Baron1988,Saimiri sciureus
Saimiri sciureus,Baron1990,Saimiri sciureus
Saimiri sciureus,Frahm1982,Saimiri sciureus
Saimiri sciureus,Frahm1994,Saimiri sciureus
Saimiri sciureus,Frahm_1984,Saimiri sciureus
Saimiri sciureus,Matano1985b,Saimiri sciureus
Saimiri sciureus,Matano1985a,Saimiri sciureus
Saimiri sciureus,Sherwood_2005,Saimiri sciureus
Saimiri sciureus,Stephan1981,Saimiri sciureus
Saimiri sciureus,Stephan1982,Saimiri sciureus
Saimiri sciureus,Stephan1984,Saimiri sciureus
Saimiri sciureus,Stephan1987,Saimiri sciureus
Saimiri sciureus,deSousa2010,Saimiri sciureus
ScutisorexÃsomereni,Baron1987,Scuisorex somereni
ScutisorexÃsomereni,Baron1988,ScutisorexÃsomereni
ScutisorexÃsomereni,Baron1990,ScutisorexÃsomereni
ScutisorexÃsomereni,Stephan1987,Scutisorex somereni
Setifer setosus,Baron1983,Setifer setosus
Setifer setosus,Baron1987,Setifer setosus
Setifer setosus,Baron1988,Setifer setosus
Setifer setosus,Baron1990,Setifer setosus
Setifer setosus,Frahm1982,Setifer setosus
Setifer setosus,Frahm1994,Setifer setosus
Setifer setosus,Matano1985a,Setifer setosus
Setifer setosus,Stephan1981,Setifer setosus
Setifer setosus,Stephan1982,Setifer setosus
Setifer setosus,Stephan1984,Setifer setosus
Setifer setosus,Stephan1987,Setifer setosus
Solenodon paradoxus,Baron1983,Solenodon paradoxus
Solenodon paradoxus,Baron1987,Solenodon paradoxus
Solenodon paradoxus,Baron1988,Solenodon paradoxus
Solenodon paradoxus,Baron1990,Solenodon paradoxus
Solenodon paradoxus,Stephan1981,Solenodon paradoxus
Solenodon paradoxus,Stephan1982,Solenodon paradoxus
Solenodon paradoxus,Stephan1987,Solenodon paradoxus
Sorex araneus,Baron1983,Sorex araneus
Sorex araneus,Baron1987,Sorex araneus
Sorex araneus,Baron1988,Sorex araneus
Sorex araneus,Baron1990,Sorex araneus
Sorex araneus,Frahm1982,Sorex araneus
Sorex araneus,Matano1985a,Sorex araneus
Sorex araneus,Stephan1981,Sorex araneus
Sorex araneus,Stephan1982,Sorex araneus
Sorex araneus,Stephan1984,Sorex araneus
Sorex araneus,Stephan1987,Sorex araneus
Sorex cinereus,Baron1987,Sorex cinereus
Sorex cinereus,Baron1988,Sorex cinereus
Sorex cinereus,Baron1990,Sorex cinereus
Sorex cinereus,Stephan1987,Sorex cinereus
Sorex fumeus,Baron1987,Sorex fumeus
Sorex fumeus,Stephan1987,Sorex fumeus
Sorex minutus,Baron1983,Sorex minutus
Sorex minutus,Baron1987,Sorex minutus
Sorex minutus,Frahm1982,Sorex minutus
Sorex minutus,Matano1985a,Sorex minutus
Sorex minutus,Stephan1981,Sorex minutus
Sorex minutus,Stephan1982,Sorex minutus
Sorex minutus,Stephan1984,Sorex minutus
Sorex minutus,Stephan1987,Sorex minutus
Spalax ehrenbergi,Frahm1997,Spalax ehrenbergi
Suncus etruscus,Baron1987,Suncus etruscus
Suncus etruscus,Baron1988,Suncus etruscus
Suncus etruscus,Baron1990,Suncus etruscus
Suncus etruscus,Stephan1987,Suncus etruscus
Suncus megalura,Baron1987,Suncus megalura
Suncus megalura,Baron1988,Sylvisorex megalura
Suncus megalura,Baron1990,Sylvisorex megalura
Suncus megalura,Stephan1987,Sylvisorex megalura
Suncus murinus,Baron1983,Suncus murinus
Suncus murinus,Baron1987,Suncus murinus
Suncus murinus,Baron1988,Suncus murinus
Suncus murinus,Baron1990,Suncus murinus
Suncus murinus,Frahm1982,Suncus murinus
Suncus murinus,Matano1985a,Suncus murinus
Suncus murinus,Stephan1981,Suncus murinus
Suncus murinus,Stephan1982,Suncus murinus
Suncus murinus,Stephan1984,Suncus murinus
Suncus murinus,Stephan1987,Suncus murinus
Sylvisorex granti,Baron1987,Sylvisorex granti
Sylvisorex granti,Stephan1987,Sylvisorex granti
Symphalangus syndactylus,Bauernfeind2013,Symphalangus syndactylus
Symphalangus syndactylus,deSousa2013,Symphalangus syndactylus
Talpa europaea,Baron1983,Talpa europaea
Talpa europaea,Baron1987,Talpa europaea
Talpa europaea,Baron1988,Talpa europaea
Talpa europaea,Baron1990,Talpa europea
Talpa europaea,Stephan1981,Talpa europaea
Talpa europaea,Stephan1982,Talpa europaea
Talpa europaea,Stephan1984,Talpa europaea
Talpa europaea,Stephan1987,Talpa europaea
Tarsius sp.,Baron1983,Tarsius spp.
Tarsius sp.,Baron1987,Tarsius spp.
Tarsius sp.,Baron1988,Tarsius spp.
Tarsius sp.,Baron1990,Tarsius spp.
Tarsius sp.,Frahm1982,Tarsius sp.
Tarsius sp.,Frahm1994,Tarsius spec.
Tarsius sp.,Frahm98,Tarsius spec.
Tarsius sp.,Frahm_1984,Tarsius sp.
Tarsius sp.,Matano1985b,Tarsius spp.
Tarsius sp.,Matano1985a,Tarsius spp.
Tarsius sp.,Sherwood_2005,Tarsius syrichta
Tarsius sp.,Stephan1981,Tarsius sp.
Tarsius sp.,Stephan1982,Tarsius sp.
Tarsius sp.,Stephan1984,Tarsius spp.
Tarsius sp.,Stephan1987,Tarsius spp.
Tarsius sp.,deSousa2010,Tarsius syrichta
Tenrec ecaudatus,Baron1983,Tenrec ecaudatus
Tenrec ecaudatus,Baron1987,Tenrec ecaudatus
Tenrec ecaudatus,Baron1988,Tenrec ecaudatus
Tenrec ecaudatus,Baron1990,Tenrec ecaudatus
Tenrec ecaudatus,Frahm1982,Tenrec ecaudatus
Tenrec ecaudatus,Frahm1994,Tenrec ecaudatus
Tenrec ecaudatus,Matano1985b,Tenrec ecaudatus
Tenrec ecaudatus,Matano1985a,Tenrec ecaudatus
Tenrec ecaudatus,Stephan1981,Tenrec ecaudatus
Tenrec ecaudatus,Stephan1982,Tenrec ecaudatus
Tenrec ecaudatus,Stephan1984,Tenrec ecaudatus
Tenrec ecaudatus,Stephan1987,Tenrec ecaudatus
Trachypithecus francoisi,Bauernfeind2013,Trachypithecus francoisi
Tupaia glis,Baron1983,Tupaia glis
Tupaia glis,Baron1987,Tupaia glis
Tupaia glis,Baron1988,Tupaia glis
Tupaia glis,Baron1990,Tupaia glis
Tupaia glis,Frahm1982,Tupaia glis
Tupaia glis,Frahm_1984,Tupaia glis
Tupaia glis,Matano1985b,Tupaia glis
Tupaia glis,Matano1985a,Tupaia glis
Tupaia glis,Stephan1981,Tupaia glis
Tupaia glis,Stephan1982,Tupaia glis
Tupaia glis,Stephan1984,Tupaia glis
Tupaia glis,Stephan1987,Tupaia glis
Tupaia minor,Baron1983,Tupaia minor
Tupaia minor,Baron1987,Tupaia minor
Tupaia minor,Baron1988,Tupaia minor
Tupaia minor,Baron1990,Tupaia minor
Tupaia minor,Frahm_1984,Tupaia minor
Tupaia minor,Stephan1981,Tupaia minor
Tupaia minor,Stephan1984,Tupaia minor
Tupaia minor,Stephan1987,Tupaia minor
Urogale everetti,Baron1983,Urogale everetti
Urogale everetti,Baron1987,Urogale everetti
Urogale everetti,Baron1988,Urogale everetti
Urogale everetti,Baron1990,Urogale everetti
Urogale everetti,Frahm1982,Urogale everetti
Urogale everetti,Frahm_1984,Urogale everetti
Urogale everetti,Matano1985b,Urogale everetti
Urogale everetti,Matano1985a,Urogale everetti
Urogale everetti,Stephan1981,Urogale everetti
Urogale everetti,Stephan1982,Urogale everetti
Urogale everetti,Stephan1984,Urogale everetti
Urogale everetti,Stephan1987,Urogale everetti
Varecia variegata,Baron1983,Varecia variegata
Varecia variegata,Baron1987,Varecia variegata
Varecia variegata,Baron1988,Varecia variegata
Varecia variegata,Baron1990,Varecia variegata
Varecia variegata,Bauernfeind2013,Varecia variegata
Varecia variegata,Frahm1994,Varecia variegata
Varecia variegata,Frahm_1984,Varecia variegata
Varecia variegata,Matano1985b,Varecia variegata
Varecia variegata,Matano1985a,Varecia variegata
Varecia variegata,Sherwood_2005,Varecia variegata
Varecia variegata,Stephan1981,Lemur variegatus
Varecia variegata,Stephan1982,Varecia variegata
Varecia variegata,Stephan1984,Varecia variegata
Varecia variegata,Stephan1987,Varecia variegata
Varecia variegata,deSousa2010,Varecia variegata
Homo sapiens,Barger2007,Homo sapiens
Pan troglodytes,Barger2007,Pan troglodytes
Pan paniscus,Barger2007,Pan paniscus
Gorilla sp.,Barger2007,Gorilla gorilla
Pongo sp.,Barger2007,Pongo pygmaeus
Hylobates lar,Barger2007,Hylobates lar
Gorilla sp.,Semendeferi,Gorilla gorilla
Pongo sp.,Semendeferi,Pongo pygmaeus
Atelerix algirus,Stephan1970,Aethechinus algirus
Microgale mergulus,Stephan1970,Limnogale mergulus
Chrysochloris stuhlmanni,Stephan1970,Chlorotalpa stuhlmanni
Eulemur fulvus,Stephan1970,Lemur fulvus
Varecia variegata,Stephan1970,Lemur variegatus
Loris tardigradus,Stephan1970,Loris gracilis
Galagoides demidoff,Stephan1970,Galago demidovii
Otolemur crassicaudatus,Stephan1970,Galago crassicaudatus
Saguinus midas,Stephan1970,Saguinus tamarin
Aotus trivirgatus,Stephan1970,Aotes trivirgatus
Pithecia monachus,Stephan1970,Pithecia monacha
Lagothrix lagothricha,Stephan1970,Lagothrix logotricha
Lophocebus albigena,Stephan1970,Cercocebus albigena
Miopithecus talapoin,Stephan1970,Cercopithecus talapoin
Piliocolobus badius,Stephan1970,Colobus badius
Eulemur fulvus,DeCasien,Eulemur fulvus fulvus
Gorilla sp.,DeCasien,Gorilla gorilla gorilla
Lagothrix lagothricha,DeCasien,Lagothrix lagotricha
Pan troglodytes,DeCasien,Pan troglodytes troglodytes
Tarsius sp.,DeCasien,Tarsius syrichta
Varecia variegata,DeCasien,Varecia variegata variegata